Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIAs) by Census subdivision (CSD) and Province/Territory,,,,,,,,,
Province/Territory,CSD,2016,2017,2018,2019,2020,2021,2022,2023
,1008069-King's Point,0,0,0,0,0,3,5,2
,1008079-Baie Verte,1,0,0,0,0,4,2,3
,1008099-Fogo Island,1,0,0,2,0,1,0,27
,1009007-Roddickton-Bide Arm,0,0,0,0,0,4,0,0
,"1009011-Woody Point, Bonne Bay",0,0,0,16,10,0,3,3
,1009013-Rocky Harbour,0,0,0,0,0,0,0,2
,1009022-Port au Choix,0,0,0,0,0,0,10,32
,1009029-St. Anthony,3,3,0,3,2,2,0,1
,1009048-River of Ponds,0,0,0,0,0,1,0,0
,1010004-L'Anse-au-Clair,3,0,0,0,0,0,0,0
,1010005-Forteau,2,0,0,0,0,0,2,0
,1010009-Port Hope Simpson,1,0,0,0,0,0,0,0
,1010022-North West River,0,0,0,0,0,3,3,0
,1010025-Happy Valley-Goose Bay,9,10,10,18,1,5,6,6
,"1010029-Division No. 10, Subd. D",0,0,1,1,0,0,2,2
,1010032-Labrador City,1,1,21,8,5,3,20,14
,1010034-Wabush,3,0,0,0,0,0,0,9
,1011030-Hopedale,1,0,0,0,0,0,0,0
,Unspecified,"1,486",968,53,14,355,1,0,49
Total,,"1,741","1,217",477,495,927,694,"1,453","1,668"
Prince Edward Island,1101001-Lot 64,101,100,99,101,71,110,327,188
,1101006-Lot 63,8,47,23,40,226,139,128,32
,1101024-Georgetown,102,102,102,102,102,183,124,125
,1101028-Lot 55,12,18,39,32,38,66,66,70
,1101039-Lot 47,20,60,0,33,0,40,50,0
,1101048-Morell,14,15,16,15,15,0,22,25
,1102004-Lot 60,22,10,10,31,6,24,29,15
,1102006-Lot 58,0,0,2,6,0,0,22,30
,1102009-Lot 50,44,46,46,101,99,90,95,71
,1102012-Lot 49,95,87,97,104,118,81,120,139
,1102014-Lot 48,0,0,1,2,0,2,11,7
,1102026-Lot 31,14,26,14,12,41,35,69,28
,1102028-Lot 65,4,3,7,1,2,5,10,9
,1102029-Lot 30,0,0,0,0,0,0,4,0
,1102031-Lot 29,7,11,14,11,16,14,19,36
,1102033-Meadowbank,2,1,1,1,0,0,0,1
,1102036-Lot 67,19,15,20,23,35,41,38,71
,1102040-Miltonvale Park,0,0,0,0,0,1,1,1
,1102044-Lot 24,0,0,2,0,0,0,0,0
,1102046-North Rustico,0,1,1,2,4,0,2,0
,1102051-Breadalbane,3,8,4,4,4,4,0,0
,1102052-Lot 34,27,42,30,38,32,11,29,6
,1102056-Lot 36,16,9,17,4,9,10,11,11
,1102070-Warren Grove,0,0,0,0,0,0,0,5
,1102075-Charlottetown,29,45,44,60,24,66,111,116
,1102080-Stratford,0,0,1,22,12,3,28,19
,1102085-Cornwall,21,42,75,0,0,0,4,5
,1103005-Borden-Carleton,10,10,16,31,35,47,196,95
,1103009-Lot 26,5,0,27,14,20,2,41,7
,1103011-Lot 25,2,3,13,6,30,14,18,23
,1103014-Kensington,17,21,19,32,25,36,62,39
,1103025-Summerside,4,25,40,41,43,40,65,29
,1103031-Lot 14,27,0,8,8,1,0,34,8
,1103033-Tyne Valley,0,6,0,0,4,3,7,14
,1103034-Lot 12,0,0,0,0,0,4,7,15
,1103049-Lot 5,90,94,121,137,227,89,88,161
,1103051-Lot 4,107,45,49,65,301,195,147,149
,1103052-Alberton,3,6,3,0,0,3,6,0
,1103054-Lot 3,10,18,12,13,14,21,24,29
,1103058-Lot 1,36,111,37,67,129,125,272,126
,1103062-Miminegash,0,0,0,0,0,0,0,2
,Unspecified,75,29,2,20,41,0,4,4
Total,,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia,1201001-Barrington,0,1,0,25,33,64,142,152
,1201006-Shelburne,1,0,0,0,6,14,27,12
,1201009-Lockeport,0,0,0,0,0,10,8,10
,1202001-Argyle,15,20,30,42,48,99,140,158
,1202004-Yarmouth,0,2,0,0,0,0,4,5
,1202006-Yarmouth,2,0,2,1,2,17,23,31
,1203001-Clare,36,82,47,92,93,259,149,45
,1203004-Digby,1,2,6,22,19,34,101,60
,1204010-Queens,7,6,0,5,0,8,6,21
,"1205004-Annapolis, Subd. A",4,9,14,12,10,10,23,31
,"1205009-Annapolis, Subd. B",23,23,35,35,43,56,105,76
,"1205014-Annapolis, Subd. C",0,0,1,0,6,15,23,43
,1206001-Lunenburg,73,102,77,115,118,109,169,140
,1206004-Bridgewater,6,6,7,1,0,2,11,10
,1206009-Chester,34,38,38,78,48,75,144,127
,"1207001-Kings, Subd. A",515,451,508,470,690,662,881,"1,064"
,1207002-Cambridge 32,43,36,36,49,66,61,73,57
,"1207011-Kings, Subd. C",6,0,3,4,5,0,11,38
,1207012-Kentville,1,0,0,0,8,2,12,3
,"1207016-Kings, Subd. B",420,539,854,582,684,840,605,802
,"1207021-Kings, Subd. D",125,143,188,145,198,156,214,132
,1207024-Wolfville,2,3,12,10,7,8,11,22
,1208001-West Hants,0,0,2,2,0,0,17,56
,1208002-Windsor,21,25,7,0,0,5,19,43
,1208008-East Hants,9,5,4,9,3,10,33,40
,1208014-Indian Brook 14,0,0,0,1,0,0,0,0
,1209019-Cole Harbour 30,0,0,0,0,0,3,0,0
,1209034-Halifax,329,227,305,334,282,397,913,922
,"1210001-Colchester, Subd. C",39,16,23,14,17,17,20,34
,1210003-Millbrook 27,0,0,0,0,0,0,7,11
,1210006-Truro,3,2,19,4,3,3,18,35
,"1210008-Colchester, Subd. B",11,42,60,150,79,73,94,87
,"1210012-Colchester, Subd. A",265,319,778,209,292,375,648,414
,"1211001-Cumberland, Subd. A",0,0,0,0,0,0,2,0
,"1211006-Cumberland, Subd. B",1,1,0,0,0,6,15,17
,"1211009-Cumberland, Subd. C",20,24,24,26,34,61,101,42
,1211011-Amherst,3,2,1,1,0,2,9,6
,"1211014-Cumberland, Subd. D",6,34,67,70,67,146,123,112
,"1212001-Pictou, Subd. A",80,84,50,89,101,213,192,4
,"1212006-Pictou, Subd. B",5,2,1,3,2,3,16,8
,1212008-Westville,0,2,2,1,0,0,2,6
,"1212011-Pictou, Subd. C",0,29,15,28,40,98,52,56
,1212014-New Glasgow,10,2,1,2,2,1,4,16
,1213004-Guysborough,0,1,1,1,8,0,2,1
,"1214001-Antigonish, Subd. A",1,6,8,6,4,6,0,7
,1214002-Antigonish,6,3,1,4,4,3,3,7
,"1214006-Antigonish, Subd. B",7,14,10,15,16,9,40,30
,"1215001-Inverness, Subd. C",0,0,0,0,0,0,0,1
,1215002-Port Hawkesbury,2,3,0,7,1,1,5,18
,"1215006-Inverness, Subd. B",0,0,0,0,1,0,2,32
,"1215011-Inverness, Subd. A",0,56,60,34,125,76,96,107
,"1216001-Richmond, Subd. C",22,9,8,0,20,40,94,57
,"1216006-Richmond, Subd. A",0,3,2,8,0,8,12,14
,"1216011-Richmond, Subd. B",1,1,0,0,0,0,10,17
,1217008-Membertou 28B,0,1,0,0,1,0,0,0
,1217030-Cape Breton,80,36,35,28,32,61,143,81
,"1218001-Victoria, Subd. B",0,0,0,0,0,0,0,7
,"1218006-Victoria, Subd. A",0,21,1,13,0,36,2,84
,Unspecified,221,270,51,76,41,7,17,26
Total,,"2,456","2,703","3,394","2,823","3,259","4,161","5,593","5,437"
New Brunswick ,1301004-Simonds,0,0,0,0,0,0,1,1
,1301006-Saint John,50,36,44,68,53,104,137,120
,1301016-Musquash,0,2,0,0,0,0,11,16
,1302006-West Isles,0,45,0,0,0,0,0,0
,1302008-Lepreau,1,2,0,0,0,0,0,0
,1302011-Pennfield,0,0,0,0,0,0,8,10
,1302012-Blacks Harbour,0,0,1,0,0,20,62,36
,1302016-Saint George,15,21,2,11,1,2,9,15
,1302018-St. George,0,2,0,1,43,4,4,7
,1302026-Saint Andrews,2,1,0,0,6,1,6,8
,1302034-Saint Stephen,2,0,0,0,0,0,0,0
,1302037-St. Stephen,0,1,0,0,9,2,14,13
,1302042-Saint David,0,0,0,7,0,13,10,21
,1302052-Grand Manan,1,1,2,0,0,4,9,7
,1303004-Gladstone,0,0,0,0,0,0,0,10
,1303006-Fredericton Junction,0,0,0,0,0,0,1,0
,1303008-Lincoln,7,6,3,6,5,5,12,4
,1303011-Burton,1,0,0,0,0,0,0,0
,1303012-Oromocto,1,1,3,3,4,1,7,11
,1303016-Maugerville,0,3,3,5,5,10,16,16
,1304018-Waterborough,4,3,5,13,14,7,7,10
,1304024-Chipman,0,1,0,0,0,0,0,0
,1304025-Chipman,0,0,0,36,10,26,0,40
,1305006-Hampton,1,0,0,0,0,0,0,0
,1305007-Hampton,1,0,0,0,0,3,5,5
,1305014-Kingston,0,0,0,1,1,0,0,0
,1305016-Norton,0,0,0,0,0,0,0,2
,1305018-Norton,4,0,2,6,1,5,18,0
,1305021-Sussex,0,0,0,0,0,0,1,6
,1305022-Sussex,1,0,0,0,2,0,16,4
,1305023-Sussex Corner,8,6,12,8,7,6,27,7
,1305024-Waterford,0,0,0,0,0,0,6,0
,1305026-Cardwell,0,4,0,27,1,35,30,102
,1305028-Havelock,1,0,0,3,4,0,0,0
,1305031-Studholm,29,38,19,17,34,22,21,25
,1305034-Springfield,4,0,5,5,14,0,9,13
,1305038-Greenwich,0,1,1,0,0,0,0,0
,1305045-Rothesay,3,6,1,6,7,14,25,7
,1305057-Quispamsis,1,2,0,2,0,11,10,10
,1306001-Hopewell,0,0,0,0,0,0,3,2
,1306006-Alma,0,0,0,0,0,0,2,6
,1306014-Coverdale,0,0,0,0,0,2,1,2
,1306020-Riverview,1,1,1,2,1,6,16,4
,1307001-Westmorland,2,2,3,10,1,15,10,25
,1307004-Botsford,0,0,10,11,2,2,3,6
,1307005-Beaubassin East / Beaubassin-est,93,125,178,200,371,320,682,402
,1307007-Cap-Pelé,416,645,209,410,872,90,"1,356",580
,1307009-Sackville,1,1,5,3,7,10,37,44
,1307013-Memramcook,48,52,45,71,73,49,101,126
,1307016-Shediac,17,1,15,15,59,54,425,249
,1307019-Moncton,4,1,2,8,4,10,35,40
,1307022-Moncton,33,34,73,62,60,73,184,359
,1307024-Salisbury,3,0,0,2,0,7,0,0
,1307028-Salisbury,1,4,10,0,10,12,13,16
,1307045-Dieppe,21,14,35,18,11,61,95,71
,1307052-Shediac,65,153,144,121,141,150,268,163
,1308001-Dundas,39,13,55,85,250,20,354,239
,1308002-Cocagne,0,0,0,0,0,3,10,6
,1308004-Wellington,0,0,0,6,44,81,96,101
,1308005-Bouctouche,0,1,1,1,4,17,68,53
,1308007-Saint-Antoine,0,0,0,0,0,0,2,10
,1308015-Richibucto 15,1,1,0,0,0,0,0,0
,1308016-Richibucto,92,224,106,132,188,100,367,115
,1308017-Rexton,0,0,0,0,0,8,12,3
,1308018-Richibucto,0,1,0,0,12,36,71,0
,1308019-Saint-Charles,0,0,0,0,0,2,2,2
,1308021-Saint-Louis,0,13,22,24,38,23,29,31
,1308024-Acadieville,0,0,0,0,0,0,0,3
,1308026-Carleton,31,13,31,32,17,423,235,208
,1309001-Hardwicke,0,0,0,40,100,183,412,147
,1309006-Chatham,1,0,0,0,0,0,0,0
,1309011-Derby,0,0,0,0,0,0,0,2
,1309018-Blackville,0,0,0,0,0,0,2,1
,1309022-Doaktown,0,0,1,0,0,0,0,0
,1309028-Northesk,0,0,0,1,0,1,2,0
,1309036-Alnwick,2,3,3,3,3,2,3,7
,1309038-Neguac,0,0,20,40,0,60,79,80
,1309050-Miramichi,6,4,2,5,3,56,25,63
,1310001-New Maryland,0,0,0,0,0,0,0,1
,1310002-New Maryland,0,0,0,0,0,0,1,0
,1310004-Manners Sutton,0,0,0,0,0,0,0,2
,1310016-Prince William,1,1,1,3,0,14,5,20
,1310017-Hanwell,0,0,0,0,1,0,9,8
,1310018-Kingsclear,1,0,0,0,0,0,0,0
,1310024-Southampton,1,0,0,0,0,0,0,0
,1310028-Douglas,0,0,0,0,0,18,4,6
,1310031-Saint Marys,0,7,0,1,0,0,5,5
,1310032-Fredericton,15,21,16,35,33,63,134,115
,1310054-Nackawic,3,1,1,2,2,1,1,4
,1311001-Richmond,0,0,0,1,1,3,0,0
,1311004-Woodstock,0,2,3,2,1,1,0,5
,1311006-Woodstock,2,19,71,55,76,70,84,46
,1311008-Northampton,37,36,46,68,62,78,81,77
,1311011-Brighton,0,0,0,3,0,0,8,1
,1311012-Hartland,1,0,0,0,0,0,1,0
,1311014-Wakefield,58,30,37,112,5,6,58,14
,1311018-Wilmot,4,4,4,0,0,0,0,0
,1311019-Centreville,0,0,0,0,0,4,38,14
,1311021-Simonds,0,10,10,7,7,5,1,0
,1311024-Peel,2,2,0,1,0,0,0,0
,1311026-Aberdeen,0,0,0,4,18,16,24,23
,1311027-Florenceville-Bristol,9,7,6,38,7,72,70,3
,1311028-Kent,0,0,0,4,0,0,7,0
,1311031-Wicklow,0,0,0,0,0,0,14,18
,1312004-Perth,0,0,0,0,0,0,0,2
,1312006-Perth-Andover,5,0,0,0,3,4,44,0
,1312014-Denmark,0,0,0,2,0,0,0,2
,1312016-Grand Falls,0,0,0,21,48,40,11,57
,1312019-Grand Falls / Grand-Sault,0,2,1,13,1,0,7,33
,1312021-Drummond,1,0,0,0,3,3,4,10
,1312023-Drummond,0,0,0,0,0,0,0,10
,1313001-Saint-André,0,0,6,0,8,4,8,6
,1313002-Saint-André,0,0,0,0,0,2,0,4
,1313004-Saint-Léonard,0,0,0,0,0,4,0,25
,1313006-Saint-Léonard,0,0,0,3,1,0,10,4
,1313011-Sainte-Anne,0,0,0,0,0,0,0,2
,1313020-St. Basile 10,0,0,0,0,1,0,0,0
,1313022-Saint-Joseph,0,0,0,0,0,1,4,0
,1313024-Saint-Jacques,2,0,0,0,0,2,7,1
,1313027-Edmundston,4,0,0,4,3,8,9,39
,1313033-St. Hilaire,0,0,0,1,0,0,0,4
,1313035-Baker-Brook,0,0,0,0,0,0,2,0
,1313039-Clair,0,0,0,14,9,15,8,25
,1313041-Saint-François,0,0,0,0,0,0,2,5
,1313042-Saint-François de Madawaska,0,0,0,0,0,1,53,20
,1314003-Colborne,0,0,1,0,0,0,0,0
,1314011-Eel River Crossing,0,0,0,0,0,0,4,2
,1314013-Atholville,0,0,0,0,0,0,5,4
,1314014-Campbellton,0,2,0,4,1,0,11,32
,1314020-Kedgwick,0,0,0,0,0,0,0,7
,1314021-Saint-Quentin,0,3,2,6,1,2,35,13
,1314022-Saint-Quentin,0,0,0,0,0,2,2,7
,1314025-Belledune,3,0,0,0,0,1,4,0
,1315002-Tracadie,27,27,28,28,32,0,43,68
,1315011-Bathurst,2,1,2,1,0,8,17,80
,1315014-Petit-Rocher,0,0,0,0,0,2,0,0
,1315015-Beresford,0,0,0,0,0,5,8,0
,1315020-Paquetville,0,0,0,0,2,0,0,3
,1315021-Saint-Isidore,0,1,1,0,0,3,30,6
,1315022-Saint-Isidore,15,0,0,0,0,0,0,0
,1315024-Inkerman,0,0,0,0,0,23,0,0
,1315026-Caraquet,17,0,36,0,17,50,50,50
,1315027-Bas-Caraquet,0,0,0,0,0,110,186,91
,1315028-Caraquet,0,1,2,1,4,2,1,11
,1315031-Shippagan,0,0,0,1,6,1,0,1
,1315032-Lamèque,0,0,0,0,0,105,157,105
,1315033-Sainte-Marie-Saint-Raphaël,0,0,0,0,0,0,72,48
,1315037-Nigadoo,0,0,0,0,0,20,87,36
,1315038-Grande-Anse,2,2,2,3,26,47,167,92
,Unspecified,245,133,11,9,15,28,63,56
Total,,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,015"
Quebec,2401023-Les Îles-de-la-Madeleine,0,30,34,68,0,125,259,261
,2401042-Grosse-Île,0,0,0,0,0,0,0,38
,2402005-Percé,4,3,15,14,22,2,24,9
,2402010-Sainte-Thérèse-de-Gaspé,0,0,48,55,35,111,166,333
,2402015-Grande-Rivière,0,0,0,0,0,7,46,24
,2402028-Chandler,0,1,10,0,0,28,33,47
,2402047-Port-Daniel--Gascons,0,1,0,0,1,1,0,2
,2403005-Gaspé,4,9,12,35,91,47,341,182
,2404025-Marsoui,0,0,0,4,8,8,18,0
,2404037-Sainte-Anne-des-Monts,1,0,1,0,3,2,16,23
,2404047-Cap-Chat,0,0,0,0,0,0,10,3
,2405010-Shigawake,0,0,0,0,0,0,10,2
,2405020-Hope Town,0,0,0,0,0,0,0,1
,2405032-Paspébiac,0,0,0,2,0,35,113,0
,2405045-Bonaventure,0,0,2,2,3,3,5,2
,2405055-Saint-Siméon,8,20,35,40,40,35,80,0
,2405060-Caplan,0,0,0,0,0,2,6,7
,2405070-New Richmond,20,4,9,8,0,10,25,23
,2405077-Cascapédia--Saint-Jules,0,0,0,0,0,6,12,2
,2406005-Maria,4,3,3,2,1,3,13,20
,2406013-Carleton-sur-Mer,1,4,4,6,14,12,15,14
,2406020-Nouvelle,0,0,0,1,1,0,0,0
,2406030-Pointe-à-la-Croix,0,0,0,0,0,0,0,2
,2407018-Causapscal,0,0,0,1,2,0,13,1
,2407030-Saint-Léon-le-Grand,0,0,0,1,0,1,0,0
,2407035-Saint-Zénon-du-Lac-Humqui,0,0,0,1,2,1,4,2
,2407040-Sainte-Irène,0,0,0,0,0,0,0,1
,2407047-Amqui,0,0,0,1,4,5,18,22
,2407057-Lac-au-Saumon,0,0,0,12,8,10,51,12
,2407065-Saint-Alexandre-des-Lacs,0,0,2,2,2,0,0,0
,2407070-Saint-Tharcisius,0,1,1,1,0,2,1,1
,2407080-Val-Brillant,0,0,4,9,6,17,19,24
,2407100-Saint-Noël,0,0,0,0,0,2,11,11
,2407105-Saint-Damase,0,0,1,9,7,7,10,15
,2408005-Les Méchins,0,0,0,0,4,1,0,0
,2408023-Sainte-Félicité,0,0,0,0,2,2,7,3
,2408053-Matane,4,4,7,22,57,81,175,264
,2408073-Saint-Ulric,1,0,1,3,2,2,4,13
,2408080-Baie-des-Sables,4,2,6,7,10,13,10,14
,2409005-La Rédemption,0,0,0,0,0,0,2,5
,2409010-Saint-Charles-Garnier,0,0,0,0,0,0,3,4
,2409015-Les Hauteurs,0,0,0,3,4,7,3,5
,2409025-Saint-Gabriel-de-Rimouski,0,0,0,0,0,10,2,18
,2409030-Saint-Donat,0,1,2,3,1,0,0,4
,2409035-Sainte-Angèle-de-Mérici,0,0,0,0,0,0,0,4
,2409048-Métis-sur-Mer,0,0,0,0,0,0,0,6
,2409055-Saint-Octave-de-Métis,0,2,2,3,2,3,4,0
,2409065-Price,0,0,0,0,0,10,0,3
,2409070-Saint-Joseph-de-Lepage,0,0,0,15,15,15,16,11
,2409077-Mont-Joli,0,0,1,1,1,0,5,0
,2409085-Sainte-Flavie,0,0,0,0,2,2,6,1
,2409092-Sainte-Luce,2,4,4,13,4,16,25,8
,2410010-La Trinité-des-Monts,0,0,0,4,1,5,1,0
,2410015-Saint-Narcisse-de-Rimouski,0,0,0,1,0,2,7,10
,2410025-Saint-Marcellin,0,0,0,0,0,0,0,4
,2410030-Saint-Anaclet-de-Lessard,0,0,0,0,0,2,2,14
,2410043-Rimouski,2,2,13,22,39,40,114,193
,2410060-Saint-Valérien,0,0,1,2,4,5,5,4
,2410070-Saint-Fabien,0,0,0,0,0,0,6,13
,2411005-Saint-Clément,0,4,0,9,6,38,6,0
,2411010-Saint-Jean-de-Dieu,0,0,3,8,8,8,11,10
,2411025-Saint-Médard,0,0,0,0,0,0,1,2
,2411030-Sainte-Françoise,0,0,0,2,2,3,4,5
,2411035-Saint-Éloi,34,44,32,31,3,2,10,13
,2411040-Trois-Pistoles,0,0,0,3,1,2,14,23
,2411050-Saint-Mathieu-de-Rioux,0,0,0,0,0,0,3,1
,2411055-Saint-Simon,0,0,1,1,2,1,2,3
,2412005-Saint-Cyprien,0,0,0,0,1,0,2,1
,2412010-Saint-Hubert-de-Rivière-du-Loup,0,0,0,0,1,0,2,1
,2412015-Saint-Antonin,0,0,0,1,0,1,11,45
,2412020-Saint-Modeste,0,1,3,1,3,1,4,6
,2412025-Saint-François-Xavier-de-Viger,0,0,0,0,0,0,2,0
,2412030-Saint-Épiphane,2,0,2,5,3,1,4,4
,2412043-L'Isle-Verte,0,0,6,9,14,4,16,29
,2412045-Notre-Dame-des-Sept-Douleurs,6,4,6,12,10,8,16,19
,2412057-Cacouna,2,0,1,4,1,3,15,12
,2412065-Saint-Arsène,26,28,28,31,34,41,67,47
,2412072-Rivière-du-Loup,10,35,56,93,77,104,302,287
,2412080-Notre-Dame-du-Portage,0,0,1,0,0,0,0,0
,2413005-Dégelis,0,0,0,4,1,3,14,7
,2413020-Saint-Marc-du-Lac-Long,0,0,0,0,0,5,5,12
,2413025-Rivière-Bleue,0,0,1,0,0,0,0,0
,2413030-Saint-Eusèbe,0,0,0,0,0,0,0,15
,2413040-Saint-Juste-du-Lac,0,0,0,0,0,0,5,2
,2413045-Auclair,0,0,0,0,0,1,6,8
,2413050-Lejeune,0,0,0,3,4,1,12,16
,2413055-Biencourt,0,0,0,0,7,0,0,0
,2413060-Lac-des-Aigles,0,0,0,0,0,7,14,5
,2413073-Témiscouata-sur-le-Lac,0,0,0,0,1,12,8,26
,2413075-Saint-Pierre-de-Lamy,0,2,0,7,6,10,11,10
,2413080-Saint-Louis-du-Ha! Ha!,0,0,0,0,0,0,0,3
,2413095-Pohénégamook,0,0,2,2,3,7,4,7
,2413100-Saint-Athanase,0,0,0,0,0,0,4,4
,2414005-Mont-Carmel,0,0,2,0,1,4,9,5
,2414018-Saint-Pascal,0,1,10,17,13,11,19,35
,2414025-Sainte-Hélène-de-Kamouraska,0,0,1,8,2,6,9,7
,2414030-Saint-Joseph-de-Kamouraska,0,0,5,10,5,12,10,8
,2414035-Saint-Alexandre-de-Kamouraska,51,49,32,66,90,53,144,145
,2414040-Saint-André,0,1,0,1,2,3,5,10
,2414045-Saint-Germain,0,0,0,0,0,0,1,1
,2414050-Kamouraska,3,1,0,7,8,8,18,15
,2414055-Saint-Denis-De La Bouteillerie,0,0,2,5,8,10,8,8
,2414060-Saint-Philippe-de-Néri,0,0,0,1,1,8,8,11
,2414065-Rivière-Ouelle,3,4,10,43,22,38,49,67
,2414075-Saint-Gabriel-Lalemant,0,0,0,0,1,2,1,1
,2414090-Sainte-Anne-de-la-Pocatière,0,4,8,14,11,9,26,34
,2415005-Saint-Irénée,0,0,2,4,9,9,11,2
,2415013-La Malbaie,15,31,50,79,50,14,94,53
,2415025-Notre-Dame-des-Monts,0,0,0,0,0,0,0,1
,2415030-Saint-Aimé-des-Lacs,0,0,2,0,0,0,10,11
,2415035-Clermont,0,0,3,3,5,1,3,4
,2415058-Saint-Siméon,0,0,0,0,0,0,3,4
,2415065-Baie-Sainte-Catherine,0,1,0,0,0,0,0,0
,2416005-Petite-Rivière-Saint-François,0,0,0,0,0,1,16,4
,2416013-Baie-Saint-Paul,4,13,12,22,56,33,98,83
,2416023-L'Isle-aux-Coudres,0,0,0,2,11,3,11,8
,2416048-Les Éboulements,33,19,34,63,15,26,30,26
,2416050-Saint-Hilarion,0,0,0,5,5,8,7,12
,2416055-Saint-Urbain,8,7,14,18,17,10,39,19
,2417005-Saint-Omer,0,0,0,0,0,0,0,6
,2417010-Saint-Pamphile,0,0,0,5,10,12,64,42
,2417015-Saint-Adalbert,0,0,0,3,0,0,0,0
,2417025-Sainte-Félicité,0,0,0,2,0,0,0,0
,2417040-Saint-Damase-de-L'Islet,0,2,2,7,4,3,0,7
,2417055-Saint-Aubert,0,1,0,0,0,0,5,5
,2417060-Sainte-Louise,0,0,0,3,8,0,8,8
