Number of Positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) Occupational Skill Level and Province/Territory ,,,,,,,,
Canada,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
British Columbia Total,"8,878","9,935","10,782","14,692","12,890","13,121","20,341","19,679"
Yukon ,,,,,,,,
Occupational  Skill Level,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,1,1,1,1,1,3,1,0
A - Professionals,57,49,58,60,24,76,82,73
B - Skilled and Technical,31,44,35,44,8,43,41,42
C - Intermediate and Clerical,5,13,11,22,6,2,4,6
D - Elemental and Labourers,2,2,0,4,0,0,4,7
Yukon Total,96,109,105,131,39,124,132,128
Northwest Territories,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,3,2,1,4,0,2,4,2
A - Professionals,1,1,0,1,0,0,1,1
B - Skilled and Technical,24,23,7,19,14,11,38,29
C - Intermediate and Clerical,32,18,12,12,8,6,2,9
D - Elemental and Labourers,0,1,0,2,1,2,10,13
Northwest Territories Total,60,45,20,38,23,21,55,54
Nunavut,,,,,,,,
Occupational  Skill Level ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,2,1,4,0,1,0,2,0
A - Professionals,7,2,8,1,0,5,0,2
B - Skilled and Technical,31,8,51,34,14,30,28,53
C - Intermediate and Clerical,87,16,33,23,7,7,8,19
D - Elemental and Labourers,3,0,8,2,1,1,3,8
Nunavut Total,130,27,104,60,23,43,41,82
Notes:,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,
"3. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics Canada was used to determine appropriate linkages.
",,,,,,,,
"4. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).
(for example, five nannies).
",,,,,,,,
"5. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,
6. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,
