"Number of Positive Labour Market Impact Assessments (LMIA) by National Occupational Classification - 2011 (NOC) Occupational Skill Type, and Province/Territory ",,,,,,,,
Canada,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
9 - Occupations in manufacturing and utilities ,24,19,18,21,34,60,83,69
Nova Scotia Total,700,570,456,488,487,614,"1,005","1,155"
New Brunswick,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,10,9,4,6,13,13,29,30
"1 - Business, finance and administration occupations ",11,2,4,6,5,11,37,25
2 - Natural and applied sciences and related occupations ,142,73,41,27,18,24,42,37
3 - Health occupations ,10,14,6,8,5,16,24,30
"4 - Occupations in education, law and social, community and government services ",10,17,9,10,4,10,10,11
"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,1,1,1
6 - Sales and service occupations ,65,58,53,103,108,124,263,332
"7 - Trades, transport and equipment operators and related occupations ",133,82,61,54,43,71,126,82
"8 - Natural resources, agriculture and related production occupations ",42,39,39,58,57,76,108,121
9 - Occupations in manufacturing and utilities ,29,33,33,36,58,76,141,107
New Brunswick Total ,453,327,250,308,311,422,781,776
Quebec,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,132,129,151,193,197,217,453,530
"1 - Business, finance and administration occupations ",90,100,103,139,212,224,994,"1,584"
2 - Natural and applied sciences and related occupations ,797,924,"1,327","2,106","1,480","2,159","4,118","3,234"
3 - Health occupations ,141,90,102,320,460,538,"1,077","1,425"
"4 - Occupations in education, law and social, community and government services ",334,365,318,520,742,632,"1,288","1,336"
"5 - Occupations in art, culture, recreation and sport ","1,015",628,707,837,405,330,"1,025",905
6 - Sales and service occupations ,252,269,235,531,841,692,"3,681","5,477"
"7 - Trades, transport and equipment operators and related occupations ",251,359,557,"1,178","1,507","1,166","4,204","4,587"
"8 - Natural resources, agriculture and related production occupations ","3,488","2,950","3,381","5,057","4,824","5,849","7,432","6,892"
9 - Occupations in manufacturing and utilities ,55,94,162,431,709,632,"2,139","2,072"
Quebec Total,"6,555","5,908","7,043","11,312","11,377","12,439","26,411","28,042"
Ontario,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,584,567,585,784,"1,005",997,"1,532","2,181"
"1 - Business, finance and administration occupations ",378,482,448,819,"1,235",826,"1,875","3,754"
2 - Natural and applied sciences and related occupations ,798,894,"1,043","1,440","1,366","1,695","2,952","2,486"
3 - Health occupations ,116,118,110,121,170,148,293,522
"4 - Occupations in education, law and social, community and government services ","3,315","3,545","4,220","3,237","1,824","2,483","1,961","2,227"
"5 - Occupations in art, culture, recreation and sport ",887,638,545,523,257,255,506,402
6 - Sales and service occupations ,772,"1,120","1,226","2,013","2,759","2,283","5,145","8,692"
"7 - Trades, transport and equipment operators and related occupations ",542,697,640,991,"1,248","1,273","2,626","3,441"
"8 - Natural resources, agriculture and related production occupations ","2,627","3,001","3,065","2,968","3,022","3,174","3,726","3,699"
9 - Occupations in manufacturing and utilities ,28,49,79,97,132,119,332,448
Ontario Total,"10,047","11,111","11,961","12,993","13,018","13,253","20,948","27,852"
Manitoba,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,12,13,20,37,23,27,45,55
"1 - Business, finance and administration occupations ",7,7,14,28,26,47,172,312
2 - Natural and applied sciences and related occupations ,19,29,53,36,29,57,76,41
3 - Health occupations ,22,20,8,13,5,25,29,46
"4 - Occupations in education, law and social, community and government services ",37,35,46,58,31,45,32,46
"5 - Occupations in art, culture, recreation and sport ",26,9,30,4,2,4,5,8
6 - Sales and service occupations ,44,58,71,112,100,121,447,685
"7 - Trades, transport and equipment operators and related occupations ",39,39,46,105,105,148,327,366
"8 - Natural resources, agriculture and related production occupations ",101,113,114,154,157,138,197,180
9 - Occupations in manufacturing and utilities ,1,1,5,4,1,3,16,15
Manitoba Total,308,324,407,551,479,615,"1,346","1,754"
Saskatchewan,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,17,18,10,14,15,24,21,37
"1 - Business, finance and administration occupations ",3,4,1,6,3,10,42,62
2 - Natural and applied sciences and related occupations ,66,33,21,28,16,34,33,22
3 - Health occupations ,38,40,29,15,19,21,31,24
"4 - Occupations in education, law and social, community and government services ",79,73,112,73,20,41,26,26
"5 - Occupations in art, culture, recreation and sport ",3,5,8,4,0,1,5,4
6 - Sales and service occupations ,119,125,85,183,123,171,529,641
"7 - Trades, transport and equipment operators and related occupations ",43,30,32,49,40,65,124,157
"8 - Natural resources, agriculture and related production occupations ",180,182,182,283,257,246,331,334
9 - Occupations in manufacturing and utilities ,0,1,3,3,1,4,15,17
Saskatchewan Total,548,511,483,658,494,617,"1,157","1,324"
Alberta,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,487,315,172,257,160,217,369,420
"1 - Business, finance and administration occupations ",182,157,161,457,356,463,"1,672","2,085"
2 - Natural and applied sciences and related occupations ,182,123,148,199,119,213,426,355
3 - Health occupations ,173,97,77,88,70,83,123,259
"4 - Occupations in education, law and social, community and government services ","1,237","1,270","1,473","1,071",417,605,521,550
"5 - Occupations in art, culture, recreation and sport ",144,91,63,80,34,44,89,88
6 - Sales and service occupations ,"2,769","2,595","1,900","3,532","2,145","2,583","6,617","7,451"
"7 - Trades, transport and equipment operators and related occupations ",616,573,487,"1,071",525,520,"1,870","2,349"
"8 - Natural resources, agriculture and related production occupations ",470,503,577,637,588,587,700,836
9 - Occupations in manufacturing and utilities ,50,62,25,69,25,34,118,187
Alberta Total,"6,310","5,786","5,083","7,461","4,439","5,349","12,505","14,580"
British Columbia,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,459,549,445,832,"1,159",999,"1,371","1,134"
"1 - Business, finance and administration occupations ",366,431,407,"1,025","1,031",885,"1,889","2,115"
2 - Natural and applied sciences and related occupations ,533,597,665,928,946,913,"1,460",808
3 - Health occupations ,58,71,54,93,99,115,174,215
"4 - Occupations in education, law and social, community and government services ","1,709","2,079","2,746","2,132","1,379","1,660","1,287","1,239"
"5 - Occupations in art, culture, recreation and sport ","1,941","1,324",912,821,441,546,744,579
6 - Sales and service occupations ,"1,680","2,428","2,593","4,631","3,791","3,773","7,239","7,192"
"7 - Trades, transport and equipment operators and related occupations ",960,"1,150","1,142","2,523","1,915","2,281","3,712","3,455"
"8 - Natural resources, agriculture and related production occupations ","1,136","1,248","1,762","1,584","1,974","1,764","2,169","2,662"
9 - Occupations in manufacturing and utilities ,36,58,56,122,155,185,296,280
British Columbia Total,"8,878","9,935","10,782","14,691","12,890","13,121","20,341","19,679"
Yukon ,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,1,1,1,1,1,3,1,0
"1 - Business, finance and administration occupations ",0,0,0,0,0,1,3,1
2 - Natural and applied sciences and related occupations ,3,1,2,0,0,3,1,2
3 - Health occupations ,0,3,0,0,0,0,0,0
"4 - Occupations in education, law and social, community and government services ",5,11,7,7,0,1,0,2
"5 - Occupations in art, culture, recreation and sport ",76,68,85,93,31,111,103,104
6 - Sales and service occupations ,5,2,3,16,5,3,15,12
"7 - Trades, transport and equipment operators and related occupations ",6,23,7,14,2,2,9,7
"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Yukon Total,96,109,105,131,39,124,132,128
Northwest Territories,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,3,2,1,4,0,2,4,2
"1 - Business, finance and administration occupations ",0,1,1,1,0,0,1,1
2 - Natural and applied sciences and related occupations ,8,5,0,0,0,0,1,5
3 - Health occupations ,0,0,0,3,1,0,1,2
"4 - Occupations in education, law and social, community and government services ",11,13,12,7,5,5,2,1
"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,0
6 - Sales and service occupations ,26,9,4,20,13,13,35,31
"7 - Trades, transport and equipment operators and related occupations ",11,13,2,2,2,0,10,12
"8 - Natural resources, agriculture and related production occupations ",0,0,0,1,1,1,1,0
9 - Occupations in manufacturing and utilities ,0,2,0,0,1,0,0,0
Northwest Territories Total,60,45,20,38,23,21,55,54
Nunavut,,,,,,,,
Occupational Skill Type ,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,2,1,4,0,1,0,2,0
"1 - Business, finance and administration occupations ",3,0,1,1,1,3,1,1
2 - Natural and applied sciences and related occupations ,12,1,25,7,8,8,7,23
3 - Health occupations ,2,1,1,0,0,1,1,0
"4 - Occupations in education, law and social, community and government services ",6,6,10,2,2,2,1,1
"5 - Occupations in art, culture, recreation and sport ",7,1,6,1,0,2,0,0
6 - Sales and service occupations ,83,15,38,33,4,6,21,29
"7 - Trades, transport and equipment operators and related occupations ",15,2,19,16,7,21,8,28
"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Nunavut Total,130,27,104,60,23,43,41,82
Notes:,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,
"3. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics Canada was used to determine appropriate linkages.",,,,,,,,
"4. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).
(for example, five nannies).
",,,,,,,,
"5. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,
6. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,
