"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) skill type, and province/territory",,,,,,,,
,,,,,,,,
Canada,,,,,,,,
,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
2 - Natural and applied sciences and related occupations ,32,13,2,1,4,2,5,5
3 - Health occupations ,4,4,0,5,4,1,4,8
"4 - Occupations in education, law and social, community and government services ",6,3,4,5,0,3,2,2
"5 - Occupations in art, culture, recreation and sport ",8,1,0,1,0,0,1,0
6 - Sales and service occupations ,11,14,8,14,10,16,120,75
"7 - Trades, transport and equipment operators and related occupations ",68,105,114,86,62,67,125,106
"8 - Natural resources, agriculture and related production occupations ",358,418,406,526,754,514,687,761
9 - Occupations in manufacturing and utilities ,449,493,474,537,881,892,"1,341",741
Prince Edward Island - Total,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,52,60,43,42,48,44,56,54
"1 - Business, finance and administration occupations ",12,7,8,6,5,18,47,79
2 - Natural and applied sciences and related occupations ,229,92,46,99,62,119,158,84
3 - Health occupations ,27,11,11,5,8,7,11,17
"4 - Occupations in education, law and social, community and government services ",32,29,40,24,23,28,8,22
"5 - Occupations in art, culture, recreation and sport ",17,3,22,7,0,1,4,3
6 - Sales and service occupations ,107,110,67,97,78,129,568,892
"7 - Trades, transport and equipment operators and related occupations ",139,177,178,196,69,206,400,342
"8 - Natural resources, agriculture and related production occupations ","1,665","1,890","2,720","1,965","2,366","2,412","2,916","2,939"
9 - Occupations in manufacturing and utilities ,176,324,259,382,600,"1,197","1,424","1,004"
Nova Scotia - Total,"2,456","2,703","3,394","2,823","3,259","4,161","5,593","5,437"
New Brunswick,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,10,9,4,6,13,13,32,32
"1 - Business, finance and administration occupations ",11,2,4,6,5,11,38,25
2 - Natural and applied sciences and related occupations ,143,73,43,34,19,29,47,45
3 - Health occupations ,11,17,6,8,11,22,33,238
"4 - Occupations in education, law and social, community and government services ",10,17,9,10,4,13,22,20
"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,1,1,1
6 - Sales and service occupations ,94,79,66,139,126,171,436,609
"7 - Trades, transport and equipment operators and related occupations ",225,172,198,266,183,347,616,401
"8 - Natural resources, agriculture and related production occupations ",184,195,197,383,381,522,687,828
9 - Occupations in manufacturing and utilities ,782,"1,236",834,"1,122","2,144","1,886","5,226","2,815"
New Brunswick - Total,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,015"
Quebec,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,132,129,151,197,201,220,487,593
"1 - Business, finance and administration occupations ",91,102,103,152,239,252,"1,154","1,674"
2 - Natural and applied sciences and related occupations ,809,953,"1,371","2,187","1,563","2,236","4,294","3,433"
3 - Health occupations ,141,92,108,504,729,746,"1,772","2,112"
"4 - Occupations in education, law and social, community and government services ",334,367,320,526,752,639,"1,336","1,442"
"5 - Occupations in art, culture, recreation and sport ","1,043",628,719,859,409,331,"1,036",926
6 - Sales and service occupations ,270,322,391,809,"1,390","1,144","6,897","8,864"
"7 - Trades, transport and equipment operators and related occupations ",460,649,"1,310","2,665","3,339","2,382","8,608","8,354"
"8 - Natural resources, agriculture and related production occupations ","16,699","13,624","15,852","23,483","21,076","24,706","30,714","27,185"
9 - Occupations in manufacturing and utilities ,332,750,932,"2,208","3,258","3,043","10,494","7,618"
Quebec - Total,"20,311","17,616","21,257","33,590","32,956","35,699","66,794","62,206"
Ontario,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,600,591,615,796,"1,020","1,010","1,578","2,246"
"1 - Business, finance and administration occupations ",382,486,457,848,"1,266",858,"2,003","4,045"
2 - Natural and applied sciences and related occupations ,978,"1,108","1,364","1,653","1,470","1,901","3,406","2,858"
3 - Health occupations ,133,123,118,133,193,272,768,"1,136"
"4 - Occupations in education, law and social, community and government services ","3,329","3,567","4,258","3,309","1,856","2,512","2,046","2,440"
"5 - Occupations in art, culture, recreation and sport ",983,707,581,565,266,274,550,448
6 - Sales and service occupations ,907,"1,368","1,659","2,620","3,441","3,286","8,462","12,891"
"7 - Trades, transport and equipment operators and related occupations ",825,"1,094","1,184","1,976","2,538","2,725","6,267","7,617"
"8 - Natural resources, agriculture and related production occupations ","22,259","29,962","29,777","28,712","28,558","31,377","34,759","38,771"
9 - Occupations in manufacturing and utilities ,30,108,894,814,882,981,"2,179","2,169"
Ontario - Total,"30,426","39,114","40,907","41,426","41,496","45,196","62,020","74,625"
Manitoba,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,16,13,20,37,24,28,46,60
"1 - Business, finance and administration occupations ",10,9,16,31,28,48,195,377
2 - Natural and applied sciences and related occupations ,23,40,99,44,40,65,88,54
3 - Health occupations ,27,24,9,17,12,31,35,55
"4 - Occupations in education, law and social, community and government services ",57,48,61,72,38,47,36,54
"5 - Occupations in art, culture, recreation and sport ",27,11,36,4,2,5,5,8
6 - Sales and service occupations ,252,259,266,350,156,334,"1,033","1,223"
"7 - Trades, transport and equipment operators and related occupations ",133,129,106,448,383,515,"1,158","1,467"
"8 - Natural resources, agriculture and related production occupations ",702,726,840,944,"1,088",733,"1,050","1,322"
9 - Occupations in manufacturing and utilities ,1,65,6,5,2,52,234,56
Manitoba - Total,"1,248","1,324","1,459","1,952","1,773","1,858","3,880","4,676"
Saskatchewan,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,19,18,10,14,15,24,23,39
"1 - Business, finance and administration occupations ",4,5,1,6,3,10,43,68
2 - Natural and applied sciences and related occupations ,117,87,72,79,27,53,71,48
3 - Health occupations ,41,42,39,17,28,28,43,30
"4 - Occupations in education, law and social, community and government services ",79,73,114,77,21,41,28,26
"5 - Occupations in art, culture, recreation and sport ",3,5,9,4,0,1,7,4
6 - Sales and service occupations ,171,160,131,276,190,256,855,"1,104"
"7 - Trades, transport and equipment operators and related occupations ",149,72,94,183,134,180,417,522
"8 - Natural resources, agriculture and related production occupations ",583,625,622,806,744,618,883,"1,229"
9 - Occupations in manufacturing and utilities ,0,3,6,4,2,7,77,54
Saskatchewan - Total,"1,166","1,090","1,098","1,466","1,164","1,218","2,447","3,124"
Alberta,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,511,326,181,272,165,221,386,441
"1 - Business, finance and administration occupations ",201,161,166,475,359,488,"1,786","2,242"
2 - Natural and applied sciences and related occupations ,257,194,214,281,152,236,735,469
3 - Health occupations ,183,99,82,102,75,87,169,376
"4 - Occupations in education, law and social, community and government services ","1,250","1,286","1,490","1,097",434,615,592,650
"5 - Occupations in art, culture, recreation and sport ",151,101,89,87,36,44,100,118
6 - Sales and service occupations ,"3,763","3,438","2,595","4,673","2,643","3,351","10,271","11,350"
"7 - Trades, transport and equipment operators and related occupations ","1,271","1,253","1,233","2,614","1,324","1,034","5,340","6,253"
"8 - Natural resources, agriculture and related production occupations ","2,379","2,441","2,763","2,948","2,601","2,859","3,155","4,997"
9 - Occupations in manufacturing and utilities ,266,280,211,391,329,176,916,611
Alberta - Total,"10,232","9,579","9,024","12,940","8,118","9,112","23,450","27,507"
British Columbia,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,483,564,460,863,"1,207","1,013","1,411","1,176"
"1 - Business, finance and administration occupations ",370,434,413,"1,048","1,060",910,"1,997","2,249"
2 - Natural and applied sciences and related occupations ,805,923,779,"1,039","1,004",987,"1,593",914
3 - Health occupations ,69,83,65,125,145,176,296,339
"4 - Occupations in education, law and social, community and government services ","1,723","2,100","2,785","2,189","1,450","1,704","1,367","1,389"
"5 - Occupations in art, culture, recreation and sport ","2,198","1,497","1,169","1,046",503,628,931,732
6 - Sales and service occupations ,"2,025","3,038","3,416","6,204","4,942","5,164","11,759","11,206"
"7 - Trades, transport and equipment operators and related occupations ","2,564","2,850","2,681","6,140","4,274","5,005","9,359","8,732"
"8 - Natural resources, agriculture and related production occupations ","9,698","10,824","16,804","13,309","15,732","14,289","17,048","25,408"
9 - Occupations in manufacturing and utilities ,66,128,167,316,544,644,"1,643","1,150"
British Columbia - Total,"20,001","22,441","28,739","32,284","30,861","30,520","47,404","53,295"
Yukon,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,1,1,1,1,1,3,1,0
"1 - Business, finance and administration occupations ",0,0,0,0,0,1,3,1
2 - Natural and applied sciences and related occupations ,4,4,2,0,0,3,1,2
3 - Health occupations ,0,3,0,0,0,0,0,0
"4 - Occupations in education, law and social, community and government services ",5,11,7,7,0,1,0,2
"5 - Occupations in art, culture, recreation and sport ",86,72,85,93,31,111,103,104
6 - Sales and service occupations ,5,3,3,21,5,5,26,19
"7 - Trades, transport and equipment operators and related occupations ",6,25,9,17,3,2,23,8
"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Yukon - Total,107,119,107,139,40,126,157,136
Northwest Territories,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,3,2,1,5,0,2,4,2
"1 - Business, finance and administration occupations ",0,1,1,1,0,0,1,1
2 - Natural and applied sciences and related occupations ,8,5,0,0,0,0,1,13
3 - Health occupations ,0,0,0,3,2,0,2,2
"4 - Occupations in education, law and social, community and government services ",11,13,12,7,5,5,2,1
"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,0
6 - Sales and service occupations ,30,10,5,37,18,22,106,85
"7 - Trades, transport and equipment operators and related occupations ",11,13,2,2,2,0,15,20
"8 - Natural resources, agriculture and related production occupations ",0,0,0,1,1,1,1,0
9 - Occupations in manufacturing and utilities ,0,2,0,0,1,0,0,0
Northwest Territories - Total,64,46,21,56,29,30,132,124
Nunavut,,,,,,,,
Skill Type and Description,2016,2017,2018,2019,2020,2021,2022,2023
0 - Management occupations ,2,1,4,0,1,0,2,0
"1 - Business, finance and administration occupations ",3,0,1,1,3,3,1,3
2 - Natural and applied sciences and related occupations ,12,13,27,16,18,17,16,40
3 - Health occupations ,2,1,1,0,0,1,3,0
"4 - Occupations in education, law and social, community and government services ",6,6,10,2,2,2,1,1
"5 - Occupations in art, culture, recreation and sport ",7,1,8,1,0,2,0,0
6 - Sales and service occupations ,98,15,49,71,7,9,46,39
"7 - Trades, transport and equipment operators and related occupations ",15,4,32,42,15,29,19,39
"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Nunavut - Total,145,41,132,133,46,63,88,122
Notes:,,,,,,,,
1. The source for all information in this release is Employment and Social Development Canada's (ESDC) LMIA System. ,,,,,,,,
"2. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics was used to determine appropriate linkages.
",,,,,,,,
"3. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).

",,,,,,,,
"4. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,
5. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,
"6. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.",,,,,,,,
