"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, National Occupational Classification - 2011 (NOC) Occupational skill Type, and Province/Territory ",,,,,,,,,,
,,,,,,,,,,
Province/Territory,Economic Region ,NOC 2011 Occupational Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Prince Edward Island     ,1110 - Prince Edward Island,"1 - Business, finance and administration occupations ",1,1,0,1,0,2,2,7
Prince Edward Island     ,1110 - Prince Edward Island,2 - Natural and applied sciences and related occupations ,32,13,2,1,4,2,5,5
Prince Edward Island     ,1110 - Prince Edward Island,3 - Health occupations ,4,4,0,5,4,1,4,8
Prince Edward Island     ,1110 - Prince Edward Island,"4 - Occupations in education, law and social, community and government services ",6,3,4,5,0,3,2,2
Prince Edward Island     ,1110 - Prince Edward Island,"5 - Occupations in art, culture, recreation and sport ",8,1,0,1,0,0,1,0
Prince Edward Island     ,1110 - Prince Edward Island,6 - Sales and service occupations ,11,14,8,14,10,16,120,75
Prince Edward Island     ,1110 - Prince Edward Island,"7 - Trades, transport and equipment operators and related occupations ",68,105,114,86,62,67,125,106
Prince Edward Island     ,1110 - Prince Edward Island,"8 - Natural resources, agriculture and related production occupations ",358,418,406,526,754,514,687,761
Prince Edward Island     ,1110 - Prince Edward Island,9 - Occupations in manufacturing and utilities ,449,493,474,537,881,892,"1,341",741
Prince Edward Island     ,Total,,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia              ,1210 - Cape Breton,0 - Management occupations ,0,0,0,1,2,1,4,7
Nova Scotia              ,1210 - Cape Breton,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,5
Nova Scotia              ,1210 - Cape Breton,2 - Natural and applied sciences and related occupations ,12,3,3,4,0,0,5,0
Nova Scotia              ,1210 - Cape Breton,3 - Health occupations ,8,4,0,0,1,0,1,0
Nova Scotia              ,1210 - Cape Breton,"4 - Occupations in education, law and social, community and government services ",1,2,2,0,2,2,0,2
Nova Scotia,1210 - Cape Breton,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Nova Scotia              ,1210 - Cape Breton,6 - Sales and service occupations ,9,6,8,8,1,5,14,125
Nova Scotia              ,1210 - Cape Breton,"7 - Trades, transport and equipment operators and related occupations ",11,0,6,0,0,0,1,8
Nova Scotia              ,1210 - Cape Breton,"8 - Natural resources, agriculture and related production occupations ",18,0,0,0,0,0,0,8
Nova Scotia              ,1210 - Cape Breton,9 - Occupations in manufacturing and utilities ,38,94,73,56,155,187,312,230
Nova Scotia              ,1220 - North Shore,0 - Management occupations ,4,2,2,4,1,0,7,6
Nova Scotia              ,1220 - North Shore,"1 - Business, finance and administration occupations ",3,4,0,4,0,1,8,6
Nova Scotia              ,1220 - North Shore,2 - Natural and applied sciences and related occupations ,5,5,3,2,0,0,1,0
Nova Scotia              ,1220 - North Shore,3 - Health occupations ,8,2,1,1,3,1,2,1
Nova Scotia              ,1220 - North Shore,"4 - Occupations in education, law and social, community and government services ",2,2,2,3,6,3,0,3
Nova Scotia,1220 - North Shore,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Nova Scotia              ,1220 - North Shore,6 - Sales and service occupations ,11,6,2,15,14,14,69,122
Nova Scotia              ,1220 - North Shore,"7 - Trades, transport and equipment operators and related occupations ",12,4,18,0,0,10,20,27
Nova Scotia              ,1220 - North Shore,"8 - Natural resources, agriculture and related production occupations ",326,431,955,488,489,558,887,635
Nova Scotia              ,1220 - North Shore,9 - Occupations in manufacturing and utilities ,75,126,90,148,191,453,399,156
Nova Scotia              ,1230 - Annapolis Valley,0 - Management occupations ,3,1,2,0,1,3,1,3
Nova Scotia              ,1230 - Annapolis Valley,"1 - Business, finance and administration occupations ",0,0,2,0,1,0,2,2
Nova Scotia              ,1230 - Annapolis Valley,2 - Natural and applied sciences and related occupations ,0,0,0,1,2,2,7,2
Nova Scotia              ,1230 - Annapolis Valley,3 - Health occupations ,2,0,7,1,2,1,1,0
Nova Scotia              ,1230 - Annapolis Valley,"4 - Occupations in education, law and social, community and government services ",0,1,1,1,0,1,0,0
Nova Scotia              ,1230 - Annapolis Valley,"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,0
Nova Scotia              ,1230 - Annapolis Valley,6 - Sales and service occupations ,14,11,9,13,11,12,84,162
Nova Scotia              ,1230 - Annapolis Valley,"7 - Trades, transport and equipment operators and related occupations ",16,37,35,21,3,45,64,30
Nova Scotia              ,1230 - Annapolis Valley,"8 - Natural resources, agriculture and related production occupations ","1,178","1,318","1,631","1,240","1,622","1,667","1,747","1,949"
Nova Scotia              ,1230 - Annapolis Valley,9 - Occupations in manufacturing and utilities ,0,0,7,0,32,65,84,190
Nova Scotia              ,1240 - Southern,0 - Management occupations ,1,4,0,1,1,2,3,1
Nova Scotia              ,1240 - Southern,"1 - Business, finance and administration occupations ",0,0,0,0,0,2,3,6
Nova Scotia              ,1240 - Southern,2 - Natural and applied sciences and related occupations ,3,0,2,0,0,2,6,1
Nova Scotia              ,1240 - Southern,3 - Health occupations ,3,1,1,0,0,1,0,0
Nova Scotia              ,1240 - Southern,"4 - Occupations in education, law and social, community and government services ",0,1,1,1,0,0,2,0
Nova Scotia              ,1240 - Southern,"5 - Occupations in art, culture, recreation and sport ",3,0,0,0,0,0,0,1
Nova Scotia              ,1240 - Southern,6 - Sales and service occupations ,6,2,4,4,3,36,104,108
Nova Scotia              ,1240 - Southern,"7 - Trades, transport and equipment operators and related occupations ",1,0,0,0,2,22,28,17
Nova Scotia              ,1240 - Southern,"8 - Natural resources, agriculture and related production occupations ",86,115,105,197,165,159,201,238
Nova Scotia              ,1240 - Southern,9 - Occupations in manufacturing and utilities ,52,104,83,178,208,489,571,401
Nova Scotia              ,1250 - Halifax,0 - Management occupations ,39,47,39,36,34,38,41,37
Nova Scotia              ,1250 - Halifax,"1 - Business, finance and administration occupations ",7,3,6,2,4,14,34,60
Nova Scotia              ,1250 - Halifax,2 - Natural and applied sciences and related occupations ,101,39,29,40,32,97,139,70
Nova Scotia              ,1250 - Halifax,3 - Health occupations ,5,3,2,1,2,4,7,16
Nova Scotia              ,1250 - Halifax,"4 - Occupations in education, law and social, community and government services ",18,22,34,18,15,22,6,17
Nova Scotia              ,1250 - Halifax,"5 - Occupations in art, culture, recreation and sport ",10,3,22,7,0,1,4,2
Nova Scotia              ,1250 - Halifax,6 - Sales and service occupations ,64,66,44,52,40,55,297,375
Nova Scotia              ,1250 - Halifax,"7 - Trades, transport and equipment operators and related occupations ",37,63,113,121,34,83,287,248
Nova Scotia              ,1250 - Halifax,"8 - Natural resources, agriculture and related production occupations ",22,23,29,35,69,20,61,99
Nova Scotia              ,1250 - Halifax,9 - Occupations in manufacturing and utilities ,11,0,6,0,14,3,58,27
Nova Scotia              ,9-Unspecified,0 - Management occupations ,5,6,0,0,9,0,0,0
Nova Scotia              ,9-Unspecified,"1 - Business, finance and administration occupations ",2,0,0,0,0,1,0,0
Nova Scotia              ,9-Unspecified,2 - Natural and applied sciences and related occupations ,108,45,9,52,28,18,0,11
Nova Scotia              ,9-Unspecified,3 - Health occupations ,1,1,0,2,0,0,0,0
Nova Scotia              ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",11,1,0,1,0,0,0,0
Nova Scotia              ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",3,0,0,0,0,0,0,0
Nova Scotia              ,9-Unspecified,6 - Sales and service occupations ,3,19,0,5,9,7,0,0
Nova Scotia              ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",62,73,6,54,30,46,0,12
Nova Scotia              ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",35,3,0,5,21,8,20,10
Nova Scotia              ,9-Unspecified,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Nova Scotia              ,Total,,"2,456","2,703","3,394","2,823","3,259","4,161","5,592","5,436"
New Brunswick            ,1310 - Campbellton--Miramichi,0 - Management occupations ,0,1,0,0,0,1,3,1
New Brunswick            ,1310 - Campbellton--Miramichi,"1 - Business, finance and administration occupations ",0,0,1,1,1,0,3,3
New Brunswick            ,1310 - Campbellton--Miramichi,2 - Natural and applied sciences and related occupations ,0,0,1,0,0,0,1,0
New Brunswick            ,1310 - Campbellton--Miramichi,3 - Health occupations ,2,3,0,1,0,3,5,105
New Brunswick            ,1310 - Campbellton--Miramichi,"4 - Occupations in education, law and social, community and government services ",2,1,4,0,0,3,1,1
New Brunswick,1310 - Campbellton--Miramichi,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
New Brunswick            ,1310 - Campbellton--Miramichi,6 - Sales and service occupations ,6,5,4,11,9,27,54,82
New Brunswick            ,1310 - Campbellton--Miramichi,"7 - Trades, transport and equipment operators and related occupations ",1,0,0,0,0,46,21,30
New Brunswick            ,1310 - Campbellton--Miramichi,"8 - Natural resources, agriculture and related production occupations ",17,6,5,8,4,3,18,35
New Brunswick            ,1310 - Campbellton--Miramichi,9 - Occupations in manufacturing and utilities ,41,50,165,177,231,603,"1,215",664
New Brunswick            ,1320 - Moncton--Richibucto,0 - Management occupations ,2,1,0,1,5,5,11,5
New Brunswick            ,1320 - Moncton--Richibucto,"1 - Business, finance and administration occupations ",8,0,2,2,1,4,13,10
New Brunswick            ,1320 - Moncton--Richibucto,2 - Natural and applied sciences and related occupations ,4,2,6,5,1,8,8,16
New Brunswick            ,1320 - Moncton--Richibucto,3 - Health occupations ,3,7,2,3,9,15,17,87
New Brunswick            ,1320 - Moncton--Richibucto,"4 - Occupations in education, law and social, community and government services ",1,3,1,3,1,6,5,12
New Brunswick            ,1320 - Moncton--Richibucto,"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,1,0
New Brunswick            ,1320 - Moncton--Richibucto,6 - Sales and service occupations ,36,42,41,56,60,77,169,215
New Brunswick            ,1320 - Moncton--Richibucto,"7 - Trades, transport and equipment operators and related occupations ",11,15,16,12,38,122,330,264
New Brunswick            ,1320 - Moncton--Richibucto,"8 - Natural resources, agriculture and related production occupations ",74,74,98,121,137,136,250,228
New Brunswick            ,1320 - Moncton--Richibucto,9 - Occupations in manufacturing and utilities ,717,"1,131",667,929,"1,854","1,201","3,784","2,045"
New Brunswick            ,1330 - Saint John--St. Stephen,0 - Management occupations ,3,2,3,0,4,6,10,18
New Brunswick            ,1330 - Saint John--St. Stephen,"1 - Business, finance and administration occupations ",2,0,1,2,1,6,12,6
New Brunswick            ,1330 - Saint John--St. Stephen,2 - Natural and applied sciences and related occupations ,12,7,8,7,2,3,8,14
New Brunswick            ,1330 - Saint John--St. Stephen,3 - Health occupations ,5,7,3,4,1,3,7,5
New Brunswick            ,1330 - Saint John--St. Stephen,"4 - Occupations in education, law and social, community and government services ",3,5,3,2,3,4,15,2
New Brunswick            ,1330 - Saint John--St. Stephen,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,1
New Brunswick            ,1330 - Saint John--St. Stephen,6 - Sales and service occupations ,14,6,1,17,22,35,108,117
New Brunswick            ,1330 - Saint John--St. Stephen,"7 - Trades, transport and equipment operators and related occupations ",40,40,32,45,41,68,70,24
New Brunswick            ,1330 - Saint John--St. Stephen,"8 - Natural resources, agriculture and related production occupations ",48,64,26,64,59,67,95,179
New Brunswick            ,1330 - Saint John--St. Stephen,9 - Occupations in manufacturing and utilities ,7,45,0,0,40,22,94,59
New Brunswick            ,1340 - Fredericton--Oromocto,0 - Management occupations ,0,1,0,2,4,1,4,6
New Brunswick            ,1340 - Fredericton--Oromocto,"1 - Business, finance and administration occupations ",0,1,0,0,2,1,7,3
New Brunswick            ,1340 - Fredericton--Oromocto,2 - Natural and applied sciences and related occupations ,2,3,1,11,7,5,21,9
New Brunswick            ,1340 - Fredericton--Oromocto,3 - Health occupations ,0,0,1,0,1,0,4,0
New Brunswick            ,1340 - Fredericton--Oromocto,"4 - Occupations in education, law and social, community and government services ",2,5,0,2,0,0,1,4
New Brunswick            ,1340 - Fredericton--Oromocto,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,1,0,0
New Brunswick            ,1340 - Fredericton--Oromocto,6 - Sales and service occupations ,25,21,18,24,27,29,72,135
New Brunswick            ,1340 - Fredericton--Oromocto,"7 - Trades, transport and equipment operators and related occupations ",1,1,2,0,3,2,14,9
New Brunswick            ,1340 - Fredericton--Oromocto,"8 - Natural resources, agriculture and related production occupations ",4,6,8,84,29,145,90,84
New Brunswick            ,1340 - Fredericton--Oromocto,9 - Occupations in manufacturing and utilities ,0,0,2,0,0,33,75,10
New Brunswick            ,1350 - Edmundston--Woodstock,0 - Management occupations ,2,0,0,0,0,0,3,1
New Brunswick            ,1350 - Edmundston--Woodstock,"1 - Business, finance and administration occupations ",1,1,0,1,0,0,3,3
New Brunswick            ,1350 - Edmundston--Woodstock,2 - Natural and applied sciences and related occupations ,2,0,0,3,0,0,0,0
New Brunswick            ,1350 - Edmundston--Woodstock,3 - Health occupations ,1,0,0,0,0,1,0,31
New Brunswick            ,1350 - Edmundston--Woodstock,"4 - Occupations in education, law and social, community and government services ",1,2,1,3,0,0,0,1
New Brunswick,1350 - Edmundston--Woodstock,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
New Brunswick            ,1350 - Edmundston--Woodstock,6 - Sales and service occupations ,4,1,1,15,7,0,33,56
New Brunswick            ,1350 - Edmundston--Woodstock,"7 - Trades, transport and equipment operators and related occupations ",74,71,126,190,100,98,169,73
New Brunswick            ,1350 - Edmundston--Woodstock,"8 - Natural resources, agriculture and related production occupations ",41,42,60,104,152,169,222,272
New Brunswick            ,1350 - Edmundston--Woodstock,9 - Occupations in manufacturing and utilities ,0,0,0,16,9,27,58,37
New Brunswick            ,9-Unspecified,0 - Management occupations ,3,4,1,3,0,0,1,1
New Brunswick,9-Unspecified,"1 - Business, finance and administration occupations ",0,0,0,0,0,0,0,0
New Brunswick            ,9-Unspecified,2 - Natural and applied sciences and related occupations ,123,61,27,8,9,13,9,6
New Brunswick            ,9-Unspecified,3 - Health occupations ,0,0,0,0,0,0,0,10
New Brunswick            ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",1,1,0,0,0,0,0,0
New Brunswick,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
New Brunswick            ,9-Unspecified,6 - Sales and service occupations ,9,4,1,16,1,3,0,4
New Brunswick            ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",98,45,22,19,1,11,12,1
New Brunswick            ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",0,3,0,2,0,2,12,30
New Brunswick            ,9-Unspecified,9 - Occupations in manufacturing and utilities ,17,10,0,0,10,0,0,0
New Brunswick            ,Total,,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,014"
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,0 - Management occupations ,1,2,0,0,0,2,3,7
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,"1 - Business, finance and administration occupations ",0,1,0,0,1,0,3,5
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,2 - Natural and applied sciences and related occupations ,0,0,9,2,2,2,4,11
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,3 - Health occupations ,3,1,2,0,5,8,13,45
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,"4 - Occupations in education, law and social, community and government services ",0,0,0,0,0,1,2,2
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,"5 - Occupations in art, culture, recreation and sport ",0,0,1,0,0,1,2,2
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,6 - Sales and service occupations ,5,7,3,11,5,24,61,112
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,"7 - Trades, transport and equipment operators and related occupations ",0,0,10,5,5,9,20,29
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,"8 - Natural resources, agriculture and related production occupations ",24,8,27,32,37,41,61,18
Quebec                   ,2410 - Gaspésie -- Îles-de-la-Madeleine,9 - Occupations in manufacturing and utilities ,3,38,86,150,115,220,688,655
Quebec                   ,2415 - Bas-Saint-Laurent,0 - Management occupations ,1,2,0,5,1,0,5,11
Quebec                   ,2415 - Bas-Saint-Laurent,"1 - Business, finance and administration occupations ",0,2,4,6,2,4,10,8
Quebec                   ,2415 - Bas-Saint-Laurent,2 - Natural and applied sciences and related occupations ,3,4,19,16,10,6,10,19
Quebec                   ,2415 - Bas-Saint-Laurent,3 - Health occupations ,1,1,3,3,20,22,65,66
Quebec                   ,2415 - Bas-Saint-Laurent,"4 - Occupations in education, law and social, community and government services ",0,0,2,0,0,1,6,2
Quebec                   ,2415 - Bas-Saint-Laurent,"5 - Occupations in art, culture, recreation and sport ",0,0,0,1,1,1,3,4
Quebec                   ,2415 - Bas-Saint-Laurent,6 - Sales and service occupations ,1,1,14,13,25,25,156,225
Quebec                   ,2415 - Bas-Saint-Laurent,"7 - Trades, transport and equipment operators and related occupations ",7,3,12,18,30,36,137,191
Quebec                   ,2415 - Bas-Saint-Laurent,"8 - Natural resources, agriculture and related production occupations ",97,126,146,299,244,346,506,484
Quebec                   ,2415 - Bas-Saint-Laurent,9 - Occupations in manufacturing and utilities ,2,41,39,74,95,163,352,465
Quebec                   ,2420 - Capitale-Nationale,0 - Management occupations ,10,6,12,24,14,20,69,96
Quebec                   ,2420 - Capitale-Nationale,"1 - Business, finance and administration occupations ",4,7,4,17,47,43,178,174
Quebec                   ,2420 - Capitale-Nationale,2 - Natural and applied sciences and related occupations ,86,193,477,715,360,552,"1,098",775
Quebec                   ,2420 - Capitale-Nationale,3 - Health occupations ,6,11,8,45,176,149,386,405
Quebec                   ,2420 - Capitale-Nationale,"4 - Occupations in education, law and social, community and government services ",7,3,11,11,16,29,53,77
Quebec                   ,2420 - Capitale-Nationale,"5 - Occupations in art, culture, recreation and sport ",89,58,31,50,33,23,44,60
Quebec                   ,2420 - Capitale-Nationale,6 - Sales and service occupations ,33,54,84,188,342,151,"1,500","1,618"
Quebec                   ,2420 - Capitale-Nationale,"7 - Trades, transport and equipment operators and related occupations ",26,46,104,234,348,287,832,845
Quebec                   ,2420 - Capitale-Nationale,"8 - Natural resources, agriculture and related production occupations ","1,174","1,180","1,237","1,396","1,342","1,881","2,040","1,757"
Quebec                   ,2420 - Capitale-Nationale,9 - Occupations in manufacturing and utilities ,0,0,1,83,119,137,609,389
Quebec                   ,2425 - Chaudière-Appalaches,0 - Management occupations ,2,0,2,7,3,2,15,14
Quebec                   ,2425 - Chaudière-Appalaches,"1 - Business, finance and administration occupations ",3,1,1,7,4,11,32,66
Quebec                   ,2425 - Chaudière-Appalaches,2 - Natural and applied sciences and related occupations ,36,38,50,102,57,49,204,119
Quebec                   ,2425 - Chaudière-Appalaches,3 - Health occupations ,0,0,6,45,54,57,145,168
Quebec                   ,2425 - Chaudière-Appalaches,"4 - Occupations in education, law and social, community and government services ",1,0,0,0,3,2,11,16
Quebec                   ,2425 - Chaudière-Appalaches,"5 - Occupations in art, culture, recreation and sport ",0,1,0,1,1,1,1,5
Quebec                   ,2425 - Chaudière-Appalaches,6 - Sales and service occupations ,8,5,26,113,180,83,583,539
Quebec                   ,2425 - Chaudière-Appalaches,"7 - Trades, transport and equipment operators and related occupations ",83,141,264,454,592,396,"1,511",952
Quebec                   ,2425 - Chaudière-Appalaches,"8 - Natural resources, agriculture and related production occupations ",873,751,"1,026","1,631","1,497","2,103","2,411","1,957"
Quebec                   ,2425 - Chaudière-Appalaches,9 - Occupations in manufacturing and utilities ,11,156,179,653,664,486,"1,702",864
Quebec                   ,2430 - Estrie,0 - Management occupations ,6,4,4,1,2,4,8,12
Quebec                   ,2430 - Estrie,"1 - Business, finance and administration occupations ",4,1,0,6,8,8,28,41
Quebec                   ,2430 - Estrie,2 - Natural and applied sciences and related occupations ,25,15,40,64,94,109,155,135
Quebec                   ,2430 - Estrie,3 - Health occupations ,30,7,5,12,25,20,56,73
Quebec                   ,2430 - Estrie,"4 - Occupations in education, law and social, community and government services ",6,0,2,6,9,19,26,22
Quebec                   ,2430 - Estrie,"5 - Occupations in art, culture, recreation and sport ",3,1,2,2,2,7,4,8
Quebec                   ,2430 - Estrie,6 - Sales and service occupations ,6,11,18,27,44,31,262,354
Quebec                   ,2430 - Estrie,"7 - Trades, transport and equipment operators and related occupations ",13,43,82,177,179,123,417,310
Quebec                   ,2430 - Estrie,"8 - Natural resources, agriculture and related production occupations ",397,574,717,947,977,931,"1,082",985
Quebec                   ,2430 - Estrie,9 - Occupations in manufacturing and utilities ,0,7,22,43,102,73,502,402
Quebec                   ,2433 - Centre-du-Québec,0 - Management occupations ,0,1,3,7,2,4,6,7
Quebec                   ,2433 - Centre-du-Québec,"1 - Business, finance and administration occupations ",1,0,0,2,0,6,17,40
Quebec                   ,2433 - Centre-du-Québec,2 - Natural and applied sciences and related occupations ,10,4,9,77,27,50,83,101
