"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, Program Stream and Province/Territory",,,,,,,,,
Newfoundland and Labrador,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
1220 - North Shore,Permanent Resident Only,0,0,0,0,0,0,2,5
1230 - Annapolis Valley,High-wage              ,21,37,39,19,2,43,60,41
1230 - Annapolis Valley,Low-wage               ,15,13,23,18,46,82,176,343
1230 - Annapolis Valley,Primary Agriculture    ,"1,178","1,318","1,631","1,240","1,622","1,668","1,747","1,950"
1230 - Annapolis Valley,Global Talent Stream   ,0,0,1,0,3,3,6,1
1230 - Annapolis Valley,Permanent Resident Only,0,0,0,0,1,0,1,3
1240 - Southern,High-wage              ,9,4,4,2,1,22,40,27
1240 - Southern,Low-wage               ,60,107,87,182,213,528,675,507
1240 - Southern,Primary Agriculture    ,86,116,105,197,165,158,201,238
1240 - Southern,Global Talent Stream   ,0,0,0,0,0,3,2,1
1240 - Southern,Permanent Resident Only,0,0,0,0,0,2,0,0
1250 - Halifax,High-wage              ,233,172,219,177,94,143,300,301
1250 - Halifax,Low-wage               ,56,69,69,67,57,76,438,484
1250 - Halifax,Primary Agriculture    ,22,22,27,35,63,20,61,98
1250 - Halifax,Global Talent Stream   ,0,5,7,33,28,98,130,66
1250 - Halifax,Permanent Resident Only,3,1,2,0,2,0,6,2
9-Unspecified,High-wage              ,215,136,15,111,76,59,0,23
9-Unspecified,Low-wage               ,12,10,0,3,9,12,2,0
9-Unspecified,Primary Agriculture    ,3,2,0,5,12,8,18,10
9-Unspecified,Global Talent Stream   ,0,0,0,0,0,1,0,0
Nova Scotia Total ,,"2,456","2,703","3,394","2,823","3,259","4,161","5,593","5,437"
New Brunswick            ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
1310 - Campbellton--Miramichi,High-wage              ,6,6,1,3,1,50,39,117
1310 - Campbellton--Miramichi,Low-wage               ,46,56,173,187,240,632,"1,266",767
1310 - Campbellton--Miramichi,Primary Agriculture    ,17,4,5,8,4,3,12,34
1310 - Campbellton--Miramichi,Global Talent Stream   ,0,0,1,0,0,0,0,0
1310 - Campbellton--Miramichi,Permanent Resident Only,0,0,0,0,0,1,4,3
1320 - Moncton--Richibucto,High-wage              ,29,24,23,21,37,124,218,267
1320 - Moncton--Richibucto,Low-wage               ,753,"1,177",712,990,"1,928","1,309","4,152","2,385"
1320 - Moncton--Richibucto,Primary Agriculture    ,74,74,98,121,137,138,208,221
1320 - Moncton--Richibucto,Global Talent Stream   ,0,0,0,0,2,3,4,7
1320 - Moncton--Richibucto,Permanent Resident Only,1,0,0,0,2,0,6,2
1330 - Saint John--St. Stephen,High-wage              ,69,57,43,58,47,79,100,53
1330 - Saint John--St. Stephen,Low-wage               ,17,54,6,15,60,62,241,191
1330 - Saint John--St. Stephen,Primary Agriculture    ,48,64,26,64,59,67,70,175
1330 - Saint John--St. Stephen,Global Talent Stream   ,0,0,2,1,1,4,5,5
1330 - Saint John--St. Stephen,Permanent Resident Only,0,1,0,3,6,2,3,2
1340 - Fredericton--Oromocto,High-wage              ,8,6,12,76,29,105,90,56
1340 - Fredericton--Oromocto,Low-wage               ,20,24,12,19,18,58,145,154
1340 - Fredericton--Oromocto,Primary Agriculture    ,4,6,8,18,19,49,30,44
1340 - Fredericton--Oromocto,Global Talent Stream   ,0,0,0,9,6,5,22,6
1340 - Fredericton--Oromocto,Permanent Resident Only,2,2,0,1,1,0,1,0
1350 - Edmundston--Woodstock,High-wage              ,80,73,127,191,101,97,174,114
1350 - Edmundston--Woodstock,Low-wage               ,5,2,1,27,11,33,92,117
1350 - Edmundston--Woodstock,Primary Agriculture    ,41,42,60,104,152,165,222,242
1350 - Edmundston--Woodstock,Global Talent Stream   ,0,0,0,2,0,0,0,0
1350 - Edmundston--Woodstock,Permanent Resident Only,0,0,0,8,4,0,0,1
9-Unspecified,High-wage              ,230,113,50,38,10,15,22,17
9-Unspecified,Low-wage               ,21,12,1,8,11,11,0,5
9-Unspecified,Primary Agriculture    ,0,3,0,2,0,2,12,30
9-Unspecified,Global Talent Stream   ,0,0,0,0,0,1,0,0
New Brunswick Total ,,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,015"
Quebec                   ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
2410 - Gaspésie -- Îles-de-la-Madeleine,High-wage              ,3,9,23,4,15,39,282,41
2410 - Gaspésie -- Îles-de-la-Madeleine,Low-wage               ,8,39,88,164,118,231,516,824
2410 - Gaspésie -- Îles-de-la-Madeleine,Primary Agriculture    ,25,9,27,32,37,36,58,18
2410 - Gaspésie -- Îles-de-la-Madeleine,Global Talent Stream   ,0,0,0,0,0,2,1,3
2415 - Bas-Saint-Laurent,High-wage              ,8,11,31,54,57,67,142,88
2415 - Bas-Saint-Laurent,Low-wage               ,7,43,53,79,139,209,658,953
2415 - Bas-Saint-Laurent,Primary Agriculture    ,97,126,144,288,231,326,445,429
2415 - Bas-Saint-Laurent,Global Talent Stream   ,0,0,11,14,1,2,5,5
2420 - Capitale-Nationale,High-wage              ,212,330,369,694,738,552,"1,440",909
2420 - Capitale-Nationale,Low-wage               ,73,54,127,316,514,434,"2,629","2,990"
2420 - Capitale-Nationale,Primary Agriculture    ,"1,150","1,160","1,198","1,315","1,244","1,815","1,888","1,695"
2420 - Capitale-Nationale,Global Talent Stream   ,0,14,275,438,301,471,853,603
2425 - Chaudière-Appalaches,High-wage              ,73,164,287,559,608,518,"1,272",579
2425 - Chaudière-Appalaches,Low-wage               ,91,206,264,835,"1,103",594,"3,139","2,308"
2425 - Chaudière-Appalaches,Primary Agriculture    ,853,723,993,"1,542","1,310","2,057","2,080","1,765"
2425 - Chaudière-Appalaches,Global Talent Stream   ,0,0,10,77,34,21,125,48
2430 - Estrie,High-wage              ,76,75,102,229,278,209,495,285
2430 - Estrie,Low-wage               ,17,13,43,90,181,132,951,"1,074"
2430 - Estrie,Primary Agriculture    ,397,574,717,935,966,918,"1,048",946
2430 - Estrie,Global Talent Stream   ,0,1,30,31,17,66,46,37
2433 - Centre-du-Québec,High-wage              ,27,57,103,302,237,273,719,374
2433 - Centre-du-Québec,Low-wage               ,40,29,130,204,493,326,"1,458","1,374"
2433 - Centre-du-Québec,Primary Agriculture    ,855,781,"1,124","1,514","1,423","1,814","1,927","1,845"
2433 - Centre-du-Québec,Global Talent Stream   ,0,0,2,61,14,41,39,31
2435 - Montérégie,High-wage              ,113,114,244,533,617,554,"1,675","1,380"
2435 - Montérégie,Low-wage               ,354,420,682,"1,071","1,622","1,128","4,908","4,945"
2435 - Montérégie,Primary Agriculture    ,"7,606","5,643","5,938","9,457","7,947","9,083","10,920","9,545"
2435 - Montérégie,Global Talent Stream   ,0,0,16,17,25,28,57,52
2435 - Montérégie,Unspecified            ,2,1,0,0,0,0,0,0
2440 - Montréal,High-wage              ,"1,586","1,395","1,033","1,469","1,503","1,172","2,997","3,076"
2440 - Montréal,Low-wage               ,479,329,276,485,590,500,"2,796","4,201"
2440 - Montréal,Primary Agriculture    ,17,16,16,21,31,24,48,193
2440 - Montréal,Global Talent Stream   ,0,57,625,"1,184",834,"1,202","2,168","1,220"
2440 - Montréal,Permanent Resident Only,1,0,0,0,0,0,0,0
2440 - Montréal,Unspecified            ,2,1,0,0,0,0,0,0
2445 - Laval,High-wage              ,45,41,38,78,128,121,381,307
2445 - Laval,Low-wage               ,18,8,10,46,68,69,573,847
2445 - Laval,Primary Agriculture    ,583,558,641,436,808,454,944,649
2445 - Laval,Global Talent Stream   ,0,0,2,12,12,15,22,16
2445 - Laval,Unspecified            ,1,0,0,0,0,0,0,0
2450 - Lanaudière,High-wage              ,63,64,84,202,225,165,351,334
2450 - Lanaudière,Low-wage               ,104,147,125,253,413,304,"1,279","1,186"
2450 - Lanaudière,Primary Agriculture    ,"2,162","1,731","1,931","2,783","2,368","2,904","3,542","2,915"
2450 - Lanaudière,Global Talent Stream   ,0,0,0,3,3,2,1,2
2450 - Lanaudière,Unspecified            ,6,0,0,0,0,0,0,0
2455 - Laurentides,High-wage              ,48,39,41,81,123,146,319,341
2455 - Laurentides,Low-wage               ,10,12,58,94,282,185,826,"1,233"
2455 - Laurentides,Primary Agriculture    ,"2,000","1,340","1,794","2,529","2,341","2,831","3,347","3,361"
2455 - Laurentides,Global Talent Stream   ,0,0,2,2,6,12,7,5
2455 - Laurentides,Unspecified            ,4,0,0,0,0,0,0,0
2460 - Outaouais,High-wage              ,34,38,30,74,114,69,186,123
2460 - Outaouais,Low-wage               ,31,8,11,24,59,63,402,429
2460 - Outaouais,Primary Agriculture    ,63,52,55,169,98,84,242,132
2460 - Outaouais,Global Talent Stream   ,0,0,8,16,6,1,3,6
2465 - Abitibi-Témiscamingue,High-wage              ,19,26,72,128,153,169,380,310
2465 - Abitibi-Témiscamingue,Low-wage               ,8,17,23,49,48,39,334,583
2465 - Abitibi-Témiscamingue,Primary Agriculture    ,34,30,86,184,131,190,223,211
2465 - Abitibi-Témiscamingue,Global Talent Stream   ,0,0,1,1,1,2,4,1
2470 - Mauricie,High-wage              ,13,16,46,170,128,88,269,126
2470 - Mauricie,Low-wage               ,31,52,73,101,156,216,892,611
2470 - Mauricie,Primary Agriculture    ,305,442,273,625,370,622,563,520
2470 - Mauricie,Global Talent Stream   ,0,0,15,16,14,22,34,16
2475 - Saguenay--Lac-Saint-Jean,High-wage              ,6,9,21,107,96,223,436,234
2475 - Saguenay--Lac-Saint-Jean,Low-wage               ,17,27,45,137,249,220,857,"1,031"
2475 - Saguenay--Lac-Saint-Jean,Primary Agriculture    ,229,219,369,643,629,757,896,"1,100"
2475 - Saguenay--Lac-Saint-Jean,Global Talent Stream   ,0,0,18,12,18,48,42,29
2480 - Côte-Nord,High-wage              ,4,14,48,50,85,93,154,93
2480 - Côte-Nord,Low-wage               ,10,11,14,22,82,96,479,482
2480 - Côte-Nord,Primary Agriculture    ,2,9,8,23,5,27,63,50
2480 - Côte-Nord,Global Talent Stream   ,0,0,0,1,1,0,2,0
2480 - Côte-Nord,Unspecified            ,2,0,0,0,0,0,0,0
2490 - Nord-du-Québec,High-wage              ,0,2,0,35,66,40,122,147
2490 - Nord-du-Québec,Low-wage               ,3,1,17,10,26,2,85,78
2490 - Nord-du-Québec,Primary Agriculture    ,56,0,0,13,10,33,20,13
2490 - Nord-du-Québec,Global Talent Stream   ,0,0,0,5,1,1,0,1
9-Unspecified,High-wage              ,146,222,172,171,135,189,144,211
9-Unspecified,Low-wage               ,36,48,32,44,81,53,254,350
9-Unspecified,Primary Agriculture    ,46,39,112,223,189,300,324,281
9-Unspecified,Global Talent Stream   ,0,0,1,4,0,0,7,6
Quebec Total ,,"20,311","17,616","21,257","33,590","32,956","35,699","66,794","62,206"
Ontario                  ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
3510 - Ottawa,High-wage              ,213,145,109,152,195,200,569,545
3510 - Ottawa,Low-wage               ,150,121,173,159,188,229,860,"1,480"
3510 - Ottawa,Primary Agriculture    ,326,399,450,394,431,559,579,649
3510 - Ottawa,Global Talent Stream   ,0,29,94,142,113,170,288,142
3510 - Ottawa,Permanent Resident Only,33,21,6,12,35,37,54,167
3515 - Kingston--Pembroke,High-wage              ,51,48,60,53,49,54,106,138
3515 - Kingston--Pembroke,Low-wage               ,25,18,52,66,69,93,275,626
3515 - Kingston--Pembroke,Primary Agriculture    ,239,337,425,316,421,335,418,441
3515 - Kingston--Pembroke,Global Talent Stream   ,0,1,3,2,5,7,13,4
3515 - Kingston--Pembroke,Permanent Resident Only,6,6,3,19,42,22,25,89
3520 - Muskoka--Kawarthas,High-wage              ,23,36,27,32,22,24,110,125
3520 - Muskoka--Kawarthas,Low-wage               ,17,48,103,66,96,99,323,394
3520 - Muskoka--Kawarthas,Primary Agriculture    ,233,271,444,346,440,376,478,458
3520 - Muskoka--Kawarthas,Global Talent Stream   ,0,0,0,1,0,1,2,0
3520 - Muskoka--Kawarthas,Permanent Resident Only,9,3,3,11,21,9,17,38
3530 - Toronto,High-wage              ,"2,401","2,699","2,456","3,667","4,005","3,491","7,832","9,677"
3530 - Toronto,Low-wage               ,"3,096","3,537","4,257","3,871","3,232","3,883","6,201","8,737"
3530 - Toronto,Primary Agriculture    ,"1,515","2,304","1,981","2,358","2,029","2,674","2,878","2,789"
3530 - Toronto,Global Talent Stream   ,0,218,610,918,888,"1,330","2,261","1,400"
3530 - Toronto,Permanent Resident Only,721,495,368,488,"1,064",547,479,"1,749"
3530 - Toronto,Unspecified            ,1,0,0,0,0,0,0,0
3540 - Kitchener--Waterloo--Barrie,High-wage              ,222,205,240,325,226,593,749,944
3540 - Kitchener--Waterloo--Barrie,Low-wage               ,162,321,432,396,434,647,"1,727","1,548"
3540 - Kitchener--Waterloo--Barrie,Primary Agriculture    ,914,"1,305","1,178","1,085","1,119","1,289","1,247","1,764"
3540 - Kitchener--Waterloo--Barrie,Global Talent Stream   ,0,35,97,94,100,119,142,78
3540 - Kitchener--Waterloo--Barrie,Permanent Resident Only,40,43,39,48,123,79,132,365
3550 - Hamilton--Niagara Peninsula,High-wage              ,191,146,168,283,220,186,531,971
3550 - Hamilton--Niagara Peninsula,Low-wage               ,181,220,258,296,282,394,"1,170","1,650"
3550 - Hamilton--Niagara Peninsula,Primary Agriculture    ,"7,882","12,374","11,474","10,959","10,226","11,371","12,513","15,120"
3550 - Hamilton--Niagara Peninsula,Global Talent Stream   ,0,8,13,17,20,10,32,34
3550 - Hamilton--Niagara Peninsula,Permanent Resident Only,49,36,26,44,94,84,74,311
3560 - London,High-wage              ,98,120,106,123,110,110,234,331
3560 - London,Low-wage               ,42,45,140,241,187,242,431,836
3560 - London,Primary Agriculture    ,"1,772","2,486","2,500","2,663","2,711","2,506","3,251","2,836"
3560 - London,Global Talent Stream   ,0,3,2,17,6,10,12,19
3560 - London,Permanent Resident Only,15,8,6,10,28,12,23,98
3570 - Windsor--Sarnia,High-wage              ,107,118,82,99,58,76,157,365
3570 - Windsor--Sarnia,Low-wage               ,13,66,639,516,559,555,707,893
3570 - Windsor--Sarnia,Primary Agriculture    ,"8,285","8,807","9,163","8,967","9,417","10,645","10,957","11,972"
3570 - Windsor--Sarnia,Global Talent Stream   ,0,1,0,4,2,5,6,9
3570 - Windsor--Sarnia,Permanent Resident Only,7,5,2,2,12,18,22,53
3580 - Stratford--Bruce Peninsula,High-wage              ,26,67,159,58,33,24,129,108
3580 - Stratford--Bruce Peninsula,Low-wage               ,19,27,147,155,119,186,682,625
3580 - Stratford--Bruce Peninsula,Primary Agriculture    ,943,"1,393","1,440","1,265","1,396","1,329","1,862","2,107"
3580 - Stratford--Bruce Peninsula,Global Talent Stream   ,0,0,0,0,0,3,2,1
3580 - Stratford--Bruce Peninsula,Permanent Resident Only,8,1,9,4,18,12,25,68
3590 - Northeast,High-wage              ,59,37,52,105,84,107,308,413
3590 - Northeast,Low-wage               ,29,26,55,83,102,79,367,434
3590 - Northeast,Primary Agriculture    ,133,226,213,178,186,137,219,287
3590 - Northeast,Global Talent Stream   ,0,1,4,3,3,1,3,9
3590 - Northeast,Permanent Resident Only,15,11,9,15,29,21,11,41
3595 - Northwest,High-wage              ,15,10,49,26,37,30,74,145
3595 - Northwest,Low-wage               ,12,33,38,48,59,81,284,358
3595 - Northwest,Primary Agriculture    ,0,1,22,9,9,10,44,73
3595 - Northwest,Global Talent Stream   ,0,0,1,2,1,2,2,4
3595 - Northwest,Permanent Resident Only,4,0,2,1,11,7,11,17
9-Unspecified,High-wage              ,91,150,134,57,29,41,53,31
9-Unspecified,Low-wage               ,3,10,38,41,38,2,16,29
9-Unspecified,Primary Agriculture    ,21,27,344,112,59,20,38,12
9-Unspecified,Global Talent Stream   ,0,0,2,0,3,5,5,17
9-Unspecified,Permanent Resident Only,9,6,0,2,1,8,0,1
Ontario Total,,"30,426","39,114","40,907","41,426","41,496","45,196","62,020","74,625"
Manitoba                 ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
4610 - Southeast,High-wage              ,8,1,3,74,53,39,107,152
4610 - Southeast,Low-wage               ,13,3,7,38,2,11,99,86
4610 - Southeast,Primary Agriculture    ,61,62,49,67,79,38,150,95
4610 - Southeast,Global Talent Stream   ,0,0,0,0,0,2,0,1
4610 - Southeast,Permanent Resident Only,3,1,1,0,0,0,0,0
4620 - South Central,High-wage              ,2,9,5,22,10,7,28,33
4620 - South Central,Low-wage               ,2,3,7,8,2,9,57,53
4620 - South Central,Primary Agriculture    ,125,82,183,198,178,181,184,345
4630 - Southwest,High-wage              ,22,13,14,35,15,16,54,46
4630 - Southwest,Low-wage               ,173,244,171,181,17,224,323,119
4630 - Southwest,Primary Agriculture    ,43,20,38,37,57,63,67,75
4630 - Southwest,Global Talent Stream   ,0,0,0,0,0,0,3,0
4630 - Southwest,Permanent Resident Only,2,2,1,2,5,1,1,0
4640 - North Central,High-wage              ,10,6,10,27,18,3,19,27
4640 - North Central,Low-wage               ,5,0,10,5,2,6,48,54
4640 - North Central,Primary Agriculture    ,304,290,284,275,474,336,381,579
4640 - North Central,Permanent Resident Only,1,1,0,0,0,0,0,0
4650 - Winnipeg,High-wage              ,165,177,177,347,310,473,"1,096","1,371"
4650 - Winnipeg,Low-wage               ,34,34,62,93,109,126,440,688
4650 - Winnipeg,Primary Agriculture    ,5,0,0,3,0,0,12,11
4650 - Winnipeg,Global Talent Stream   ,0,9,86,25,28,50,61,19
4650 - Winnipeg,Permanent Resident Only,12,1,0,4,6,7,2,9
4660 - Interlake,High-wage              ,8,4,6,56,62,97,182,326
4660 - Interlake,Low-wage               ,12,5,10,17,6,12,78,87
4660 - Interlake,Primary Agriculture    ,35,149,137,179,172,66,99,92
4660 - Interlake,Global Talent Stream   ,0,0,0,0,0,0,2,0
4660 - Interlake,Permanent Resident Only,0,0,1,0,0,0,0,0
4670 - Parklands,High-wage              ,3,6,1,7,1,11,12,35
4670 - Parklands,Low-wage               ,7,10,13,18,24,11,75,89
4670 - Parklands,Primary Agriculture    ,111,72,84,116,113,41,142,107
4680 - North,High-wage              ,40,39,23,21,7,5,34,38
4680 - North,Low-wage               ,19,22,4,27,9,14,90,60
4680 - North,Primary Agriculture    ,0,0,0,65,11,3,8,17
4680 - North,Global Talent Stream   ,0,0,0,0,0,0,0,1
4680 - North,Permanent Resident Only,1,0,1,0,0,0,0,0
9-Unspecified,High-wage              ,0,18,3,1,2,5,15,50
9-Unspecified,Low-wage               ,7,0,5,1,1,1,8,11
9-Unspecified,Primary Agriculture    ,15,41,63,3,0,0,2,0
9-Unspecified,Global Talent Stream   ,0,0,0,0,0,0,1,0
Manitoba Total,,"30,426","39,114","40,907","41,426","41,496","45,196","62,020","74,625"
Saskatchewan             ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
4710 - Regina--Moose Mountain,High-wage              ,175,95,86,136,77,110,222,222
4710 - Regina--Moose Mountain,Low-wage               ,73,69,74,85,47,88,267,383
4710 - Regina--Moose Mountain,Primary Agriculture    ,57,73,77,99,89,90,145,114
4710 - Regina--Moose Mountain,Global Talent Stream   ,0,0,0,3,5,4,5,2
4710 - Regina--Moose Mountain,Permanent Resident Only,3,0,0,1,2,1,2,0
4720 - Swift Current--Moose Jaw,High-wage              ,9,18,9,41,11,14,45,64
4720 - Swift Current--Moose Jaw,Low-wage               ,21,21,15,53,37,22,148,114
4720 - Swift Current--Moose Jaw,Primary Agriculture    ,67,68,61,115,101,42,155,132
4720 - Swift Current--Moose Jaw,Global Talent Stream   ,0,0,0,0,0,0,2,1
4720 - Swift Current--Moose Jaw,Permanent Resident Only,0,0,0,0,0,0,0,1
4730 - Saskatoon--Biggar,High-wage              ,78,74,86,72,69,113,222,228
4730 - Saskatoon--Biggar,Low-wage               ,58,54,65,67,59,74,295,448
4730 - Saskatoon--Biggar,Primary Agriculture    ,140,154,189,172,161,152,156,270
4730 - Saskatoon--Biggar,Global Talent Stream   ,0,0,11,19,7,25,16,2
4730 - Saskatoon--Biggar,Permanent Resident Only,8,1,0,1,5,1,0,5
4740 - Yorkton--Melville,High-wage              ,14,13,12,25,8,6,19,43
4740 - Yorkton--Melville,Low-wage               ,31,19,20,27,24,13,62,106
4740 - Yorkton--Melville,Primary Agriculture    ,71,94,59,123,113,78,110,133
4740 - Yorkton--Melville,Permanent Resident Only,1,0,0,2,0,1,2,0
4750 - Prince Albert,High-wage              ,38,36,43,41,39,57,68,86
4750 - Prince Albert,Low-wage               ,35,55,41,54,26,55,159,173
4750 - Prince Albert,Primary Agriculture    ,208,216,203,290,278,241,305,551
4750 - Prince Albert,Permanent Resident Only,0,1,2,0,2,0,0,0
4760 - Northern,High-wage              ,9,3,3,4,2,2,2,5
4760 - Northern,Low-wage               ,1,3,3,4,0,2,16,4
4760 - Northern,Primary Agriculture    ,0,0,4,0,0,0,0,0
9-Unspecified,High-wage              ,30,7,13,26,1,15,16,25
9-Unspecified,Low-wage               ,1,0,1,0,0,0,5,0
9-Unspecified,Primary Agriculture    ,38,16,21,5,1,12,3,12
9-Unspecified,Global Talent Stream   ,0,0,0,1,0,0,0,0
Sakatchewan Total,,"1,166","1,090","1,098","1,466","1,164","1,218","2,447","3,124"
Alberta                  ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
4810 - Lethbridge--Medicine Hat,High-wage              ,62,51,24,59,18,14,82,119
4810 - Lethbridge--Medicine Hat,Low-wage               ,235,407,234,417,404,252,950,769
4810 - Lethbridge--Medicine Hat,Primary Agriculture    ,"1,143",987,"1,014","1,186","1,017","1,313","1,153","1,825"
4810 - Lethbridge--Medicine Hat,Global Talent Stream   ,0,0,0,1,0,0,0,0
4810 - Lethbridge--Medicine Hat,Permanent Resident Only,23,3,8,3,0,1,6,9
4820 - Camrose--Drumheller,High-wage              ,44,24,28,50,10,24,139,139
4820 - Camrose--Drumheller,Low-wage               ,207,177,175,226,163,170,540,510
4820 - Camrose--Drumheller,Primary Agriculture    ,233,269,319,330,277,375,428,521
4820 - Camrose--Drumheller,Global Talent Stream   ,0,0,0,0,0,1,2,1
4820 - Camrose--Drumheller,Permanent Resident Only,13,7,9,4,2,5,7,5
4820 - Camrose--Drumheller,Unspecified            ,2,0,0,0,0,0,0,0
4830 - Calgary,High-wage              ,731,578,513,"1,224",720,463,"2,632","3,057"
4830 - Calgary,Low-wage               ,"1,623","1,572","1,478","1,955","1,126","1,325","3,696","5,240"
4830 - Calgary,Primary Agriculture    ,191,172,239,215,219,211,230,480
4830 - Calgary,Global Talent Stream   ,0,9,46,85,50,138,424,115
4830 - Calgary,Permanent Resident Only,308,70,66,62,45,40,81,91
4840 - Banff--Jasper--Rocky Mountain House,High-wage              ,36,31,31,76,18,15,34,65
4840 - Banff--Jasper--Rocky Mountain House,Low-wage               ,268,296,240,486,243,276,"1,204",800
4840 - Banff--Jasper--Rocky Mountain House,Primary Agriculture    ,13,38,68,62,44,46,56,80
4840 - Banff--Jasper--Rocky Mountain House,Permanent Resident Only,26,3,14,2,3,4,4,3
4850 - Red Deer,High-wage              ,39,49,37,67,37,25,107,122
4850 - Red Deer,Low-wage               ,183,190,157,207,118,166,725,560
4850 - Red Deer,Primary Agriculture    ,144,200,248,228,259,233,334,454
4850 - Red Deer,Global Talent Stream   ,0,0,1,0,0,0,2,2
4850 - Red Deer,Permanent Resident Only,29,3,13,5,3,4,9,5
4860 - Edmonton,High-wage              ,908,839,784,"1,634",662,696,"2,869","2,979"
4860 - Edmonton,Low-wage               ,"1,847","1,708","1,402","2,227","1,254","1,740","4,708","5,925"
4860 - Edmonton,Primary Agriculture    ,254,228,265,264,268,237,239,389
4860 - Edmonton,Global Talent Stream   ,0,2,31,27,25,41,55,30
4860 - Edmonton,Permanent Resident Only,286,45,81,58,35,49,192,126
4860 - Edmonton,Unspecified            ,5,0,0,0,0,0,0,0
4870 - Athabasca--Grande Prairie--Peace River,High-wage              ,65,55,57,119,42,62,115,220
4870 - Athabasca--Grande Prairie--Peace River,Low-wage               ,374,415,382,606,309,450,"1,113",978
4870 - Athabasca--Grande Prairie--Peace River,Primary Agriculture    ,201,281,341,401,278,290,347,507
