Province/Territory,2016,2017,2018,2019,2020,2021,2022,2023,CSD_Code,CSD_Name
Newfoundland and Labrador,2,2,1,5,1,5,10,3,1001517,Paradise
Newfoundland and Labrador,126,75,87,208,273,503,575,440,1001519,St. John's
Newfoundland and Labrador,18,12,2,13,1,4,17,26,1001542,Mount Pearl
Newfoundland and Labrador,0,0,0,0,0,0,0,1,1001551,Petty Harbour-Maddox Cove
Newfoundland and Labrador,6,17,13,9,1,5,10,3,1001557,Bay Bulls
Newfoundland and Labrador,0,0,0,0,0,0,12,23,1001559,Witless Bay
Newfoundland and Labrador,0,0,3,2,2,0,1,4,1002005,Burin
Newfoundland and Labrador,0,5,0,0,0,0,10,39,1002008,St. Lawrence
Newfoundland and Labrador,0,0,8,0,0,0,0,0,1002012,Lamaline
Newfoundland and Labrador,0,0,12,0,0,0,0,1,1002018,Fortune
Newfoundland and Labrador,0,0,0,15,3,0,0,0,1002019,Grand Bank
Newfoundland and Labrador,1,1,1,0,0,3,13,5,1002024,Marystown
Newfoundland and Labrador,0,0,3,0,0,0,0,0,1002031,"Division No. 2, Subd. C"
Newfoundland and Labrador,0,0,0,0,6,0,5,0,1003004,Belleoram
Newfoundland and Labrador,0,0,0,0,0,2,0,0,1003008,Harbour Breton
Newfoundland and Labrador,0,0,0,0,0,0,12,12,1003011,Hermitage-Sandyville
Newfoundland and Labrador,0,0,0,7,0,0,0,0,1003045,Rose Blanche-Harbour le Cou
Newfoundland and Labrador,6,6,10,8,11,10,30,20,1004006,"Division No. 4, Subd. B"
Newfoundland and Labrador,3,1,0,0,1,1,1,6,1004019,Stephenville
Newfoundland and Labrador,0,0,0,0,0,0,0,4,1005001,"Division No. 5, Subd. A"
Newfoundland and Labrador,1,0,1,2,1,2,11,12,1005004,Deer Lake
Newfoundland and Labrador,2,4,6,3,8,11,6,15,1005014,Cormack
Newfoundland and Labrador,11,4,3,3,6,7,14,11,1005018,Corner Brook
Newfoundland and Labrador,0,0,0,0,0,0,0,12,1005020,Humber Arm South
Newfoundland and Labrador,0,0,2,0,0,0,0,0,1005023,Cox's Cove
Newfoundland and Labrador,3,2,3,5,9,9,9,21,1006009,Gander
Newfoundland and Labrador,4,0,2,16,13,14,13,11,1006017,Grand Falls-Windsor
Newfoundland and Labrador,0,0,0,0,0,0,2,6,1006019,Bishop's Falls
Newfoundland and Labrador,0,0,0,0,0,0,40,46,1007006,"Division No. 7, Subd. L"
Newfoundland and Labrador,2,4,0,3,2,4,6,6,1007013,Clarenville
Newfoundland and Labrador,0,5,0,0,2,6,3,5,1007031,"Division No. 7, Subd. E"
Newfoundland and Labrador,2,2,2,2,2,0,25,0,1007032,Musgravetown
Newfoundland and Labrador,0,0,0,12,10,15,24,2,1007044,Glovertown
Newfoundland and Labrador,0,0,0,0,0,4,5,0,1007050,Centreville-Wareham-Trinity
Newfoundland and Labrador,0,0,16,0,0,0,0,0,1008024,Change Islands
Newfoundland and Labrador,0,0,0,0,0,4,0,4,1008039,Comfort Cove-Newstead
Newfoundland and Labrador,0,1,0,0,0,0,1,0,1008042,"Division No. 8, Subd. F"
Newfoundland and Labrador,0,0,0,0,0,0,10,15,1008054,Triton
Newfoundland and Labrador,2,0,0,0,0,3,7,14,1008061,Springdale
Newfoundland and Labrador,0,0,0,0,0,3,5,2,1008069,King's Point
Newfoundland and Labrador,1,0,0,0,0,4,2,3,1008079,Baie Verte
Newfoundland and Labrador,1,0,0,2,0,1,0,27,1008099,Fogo Island
Newfoundland and Labrador,0,0,0,0,0,4,0,0,1009007,Roddickton-Bide Arm
Newfoundland and Labrador,0,0,0,16,10,0,3,3,1009011,"Woody Point, Bonne Bay"
Newfoundland and Labrador,0,0,0,0,0,0,0,2,1009013,Rocky Harbour
Newfoundland and Labrador,0,0,0,0,0,0,10,32,1009022,Port au Choix
Newfoundland and Labrador,3,3,0,3,2,2,0,1,1009029,St. Anthony
Newfoundland and Labrador,0,0,0,0,0,1,0,0,1009048,River of Ponds
Newfoundland and Labrador,3,0,0,0,0,0,0,0,1010004,L'Anse-au-Clair
Newfoundland and Labrador,2,0,0,0,0,0,2,0,1010005,Forteau
Newfoundland and Labrador,1,0,0,0,0,0,0,0,1010009,Port Hope Simpson
Newfoundland and Labrador,0,0,0,0,0,3,3,0,1010022,North West River
Newfoundland and Labrador,9,10,10,18,1,5,6,6,1010025,Happy Valley-Goose Bay
Newfoundland and Labrador,0,0,1,1,0,0,2,2,1010029,"Division No. 10, Subd. D"
Newfoundland and Labrador,1,1,21,8,5,3,20,14,1010032,Labrador City
Newfoundland and Labrador,3,0,0,0,0,0,0,9,1010034,Wabush
Newfoundland and Labrador,1,0,0,0,0,0,0,0,1011030,Hopedale
Newfoundland and Labrador,"1,486",968,53,14,355,1,0,49,Unspecified,
Prince Edward Island,101,100,99,101,71,110,327,188,1101001,Lot 64
Prince Edward Island,8,47,23,40,226,139,128,32,1101006,Lot 63
Prince Edward Island,102,102,102,102,102,183,124,125,1101024,Georgetown
Prince Edward Island,12,18,39,32,38,66,66,70,1101028,Lot 55
Prince Edward Island,20,60,0,33,0,40,50,0,1101039,Lot 47
Prince Edward Island,14,15,16,15,15,0,22,25,1101048,Morell
Prince Edward Island,22,10,10,31,6,24,29,15,1102004,Lot 60
Prince Edward Island,0,0,2,6,0,0,22,30,1102006,Lot 58
Prince Edward Island,44,46,46,101,99,90,95,71,1102009,Lot 50
Prince Edward Island,95,87,97,104,118,81,120,139,1102012,Lot 49
Prince Edward Island,0,0,1,2,0,2,11,7,1102014,Lot 48
Prince Edward Island,14,26,14,12,41,35,69,28,1102026,Lot 31
Prince Edward Island,4,3,7,1,2,5,10,9,1102028,Lot 65
Prince Edward Island,0,0,0,0,0,0,4,0,1102029,Lot 30
Prince Edward Island,7,11,14,11,16,14,19,36,1102031,Lot 29
Prince Edward Island,2,1,1,1,0,0,0,1,1102033,Meadowbank
Prince Edward Island,19,15,20,23,35,41,38,71,1102036,Lot 67
Prince Edward Island,0,0,0,0,0,1,1,1,1102040,Miltonvale Park
Prince Edward Island,0,0,2,0,0,0,0,0,1102044,Lot 24
Prince Edward Island,0,1,1,2,4,0,2,0,1102046,North Rustico
Prince Edward Island,3,8,4,4,4,4,0,0,1102051,Breadalbane
Prince Edward Island,27,42,30,38,32,11,29,6,1102052,Lot 34
Prince Edward Island,16,9,17,4,9,10,11,11,1102056,Lot 36
Prince Edward Island,0,0,0,0,0,0,0,5,1102070,Warren Grove
Prince Edward Island,29,45,44,60,24,66,111,116,1102075,Charlottetown
Prince Edward Island,0,0,1,22,12,3,28,19,1102080,Stratford
Prince Edward Island,21,42,75,0,0,0,4,5,1102085,Cornwall
Prince Edward Island,10,10,16,31,35,47,196,95,1103005,Borden-Carleton
Prince Edward Island,5,0,27,14,20,2,41,7,1103009,Lot 26
Prince Edward Island,2,3,13,6,30,14,18,23,1103011,Lot 25
Prince Edward Island,17,21,19,32,25,36,62,39,1103014,Kensington
Prince Edward Island,4,25,40,41,43,40,65,29,1103025,Summerside
Prince Edward Island,27,0,8,8,1,0,34,8,1103031,Lot 14
Prince Edward Island,0,6,0,0,4,3,7,14,1103033,Tyne Valley
Prince Edward Island,0,0,0,0,0,4,7,15,1103034,Lot 12
Prince Edward Island,90,94,121,137,227,89,88,161,1103049,Lot 5
Prince Edward Island,107,45,49,65,301,195,147,149,1103051,Lot 4
Prince Edward Island,3,6,3,0,0,3,6,0,1103052,Alberton
Prince Edward Island,10,18,12,13,14,21,24,29,1103054,Lot 3
Prince Edward Island,36,111,37,67,129,125,272,126,1103058,Lot 1
Prince Edward Island,0,0,0,0,0,0,0,2,1103062,Miminegash
Prince Edward Island,75,29,2,20,41,0,4,4,Unspecified,
Nova Scotia,0,1,0,25,33,64,142,152,1201001,Barrington
Nova Scotia,1,0,0,0,6,14,27,12,1201006,Shelburne
Nova Scotia,0,0,0,0,0,10,8,10,1201009,Lockeport
Nova Scotia,15,20,30,42,48,99,140,158,1202001,Argyle
Nova Scotia,0,2,0,0,0,0,4,5,1202004,Yarmouth
Nova Scotia,2,0,2,1,2,17,23,31,1202006,Yarmouth
Nova Scotia,36,82,47,92,93,259,149,45,1203001,Clare
Nova Scotia,1,2,6,22,19,34,101,60,1203004,Digby
Nova Scotia,7,6,0,5,0,8,6,21,1204010,Queens
Nova Scotia,4,9,14,12,10,10,23,31,1205004,"Annapolis, Subd. A"
Nova Scotia,23,23,35,35,43,56,105,76,1205009,"Annapolis, Subd. B"
Nova Scotia,0,0,1,0,6,15,23,43,1205014,"Annapolis, Subd. C"
Nova Scotia,73,102,77,115,118,109,169,140,1206001,Lunenburg
Nova Scotia,6,6,7,1,0,2,11,10,1206004,Bridgewater
Nova Scotia,34,38,38,78,48,75,144,127,1206009,Chester
Nova Scotia,515,451,508,470,690,662,881,"1,064",1207001,"Kings, Subd. A"
Nova Scotia,43,36,36,49,66,61,73,57,1207002,Cambridge 32
Nova Scotia,6,0,3,4,5,0,11,38,1207011,"Kings, Subd. C"
Nova Scotia,1,0,0,0,8,2,12,3,1207012,Kentville
Nova Scotia,420,539,854,582,684,840,605,802,1207016,"Kings, Subd. B"
Nova Scotia,125,143,188,145,198,156,214,132,1207021,"Kings, Subd. D"
Nova Scotia,2,3,12,10,7,8,11,22,1207024,Wolfville
Nova Scotia,0,0,2,2,0,0,17,56,1208001,West Hants
Nova Scotia,21,25,7,0,0,5,19,43,1208002,Windsor
Nova Scotia,9,5,4,9,3,10,33,40,1208008,East Hants
Nova Scotia,0,0,0,1,0,0,0,0,1208014,Indian Brook 14
Nova Scotia,0,0,0,0,0,3,0,0,1209019,Cole Harbour 30
Nova Scotia,329,227,305,334,282,397,913,922,1209034,Halifax
Nova Scotia,39,16,23,14,17,17,20,34,1210001,"Colchester, Subd. C"
Nova Scotia,0,0,0,0,0,0,7,11,1210003,Millbrook 27
Nova Scotia,3,2,19,4,3,3,18,35,1210006,Truro
Nova Scotia,11,42,60,150,79,73,94,87,1210008,"Colchester, Subd. B"
Nova Scotia,265,319,778,209,292,375,648,414,1210012,"Colchester, Subd. A"
Nova Scotia,0,0,0,0,0,0,2,0,1211001,"Cumberland, Subd. A"
Nova Scotia,1,1,0,0,0,6,15,17,1211006,"Cumberland, Subd. B"
Nova Scotia,20,24,24,26,34,61,101,42,1211009,"Cumberland, Subd. C"
Nova Scotia,3,2,1,1,0,2,9,6,1211011,Amherst
Nova Scotia,6,34,67,70,67,146,123,112,1211014,"Cumberland, Subd. D"
Nova Scotia,80,84,50,89,101,213,192,4,1212001,"Pictou, Subd. A"
Nova Scotia,5,2,1,3,2,3,16,8,1212006,"Pictou, Subd. B"
Nova Scotia,0,2,2,1,0,0,2,6,1212008,Westville
Nova Scotia,0,29,15,28,40,98,52,56,1212011,"Pictou, Subd. C"
Nova Scotia,10,2,1,2,2,1,4,16,1212014,New Glasgow
Nova Scotia,0,1,1,1,8,0,2,1,1213004,Guysborough
Nova Scotia,1,6,8,6,4,6,0,7,1214001,"Antigonish, Subd. A"
Nova Scotia,6,3,1,4,4,3,3,7,1214002,Antigonish
Nova Scotia,7,14,10,15,16,9,40,30,1214006,"Antigonish, Subd. B"
Nova Scotia,0,0,0,0,0,0,0,1,1215001,"Inverness, Subd. C"
Nova Scotia,2,3,0,7,1,1,5,18,1215002,Port Hawkesbury
Nova Scotia,0,0,0,0,1,0,2,32,1215006,"Inverness, Subd. B"
Nova Scotia,0,56,60,34,125,76,96,107,1215011,"Inverness, Subd. A"
Nova Scotia,22,9,8,0,20,40,94,57,1216001,"Richmond, Subd. C"
Nova Scotia,0,3,2,8,0,8,12,14,1216006,"Richmond, Subd. A"
Nova Scotia,1,1,0,0,0,0,10,17,1216011,"Richmond, Subd. B"
Nova Scotia,0,1,0,0,1,0,0,0,1217008,Membertou 28B
Nova Scotia,80,36,35,28,32,61,143,81,1217030,Cape Breton
Nova Scotia,0,0,0,0,0,0,0,7,1218001,"Victoria, Subd. B"
Nova Scotia,0,21,1,13,0,36,2,84,1218006,"Victoria, Subd. A"
Nova Scotia,221,270,51,76,41,7,17,26,Unspecified,
New Brunswick ,0,0,0,0,0,0,1,1,1301004,Simonds
New Brunswick ,50,36,44,68,53,104,137,120,1301006,Saint John
New Brunswick ,0,2,0,0,0,0,11,16,1301016,Musquash
New Brunswick ,0,45,0,0,0,0,0,0,1302006,West Isles
New Brunswick ,1,2,0,0,0,0,0,0,1302008,Lepreau
New Brunswick ,0,0,0,0,0,0,8,10,1302011,Pennfield
New Brunswick ,0,0,1,0,0,20,62,36,1302012,Blacks Harbour
New Brunswick ,15,21,2,11,1,2,9,15,1302016,Saint George
New Brunswick ,0,2,0,1,43,4,4,7,1302018,St. George
New Brunswick ,2,1,0,0,6,1,6,8,1302026,Saint Andrews
New Brunswick ,2,0,0,0,0,0,0,0,1302034,Saint Stephen
New Brunswick ,0,1,0,0,9,2,14,13,1302037,St. Stephen
New Brunswick ,0,0,0,7,0,13,10,21,1302042,Saint David
New Brunswick ,1,1,2,0,0,4,9,7,1302052,Grand Manan
New Brunswick ,0,0,0,0,0,0,0,10,1303004,Gladstone
New Brunswick ,0,0,0,0,0,0,1,0,1303006,Fredericton Junction
New Brunswick ,7,6,3,6,5,5,12,4,1303008,Lincoln
New Brunswick ,1,0,0,0,0,0,0,0,1303011,Burton
New Brunswick ,1,1,3,3,4,1,7,11,1303012,Oromocto
New Brunswick ,0,3,3,5,5,10,16,16,1303016,Maugerville
New Brunswick ,4,3,5,13,14,7,7,10,1304018,Waterborough
New Brunswick ,0,1,0,0,0,0,0,0,1304024,Chipman
New Brunswick ,0,0,0,36,10,26,0,40,1304025,Chipman
New Brunswick ,1,0,0,0,0,0,0,0,1305006,Hampton
New Brunswick ,1,0,0,0,0,3,5,5,1305007,Hampton
New Brunswick ,0,0,0,1,1,0,0,0,1305014,Kingston
New Brunswick ,0,0,0,0,0,0,0,2,1305016,Norton
New Brunswick ,4,0,2,6,1,5,18,0,1305018,Norton
New Brunswick ,0,0,0,0,0,0,1,6,1305021,Sussex
New Brunswick ,1,0,0,0,2,0,16,4,1305022,Sussex
New Brunswick ,8,6,12,8,7,6,27,7,1305023,Sussex Corner
New Brunswick ,0,0,0,0,0,0,6,0,1305024,Waterford
New Brunswick ,0,4,0,27,1,35,30,102,1305026,Cardwell
New Brunswick ,1,0,0,3,4,0,0,0,1305028,Havelock
New Brunswick ,29,38,19,17,34,22,21,25,1305031,Studholm
New Brunswick ,4,0,5,5,14,0,9,13,1305034,Springfield
New Brunswick ,0,1,1,0,0,0,0,0,1305038,Greenwich
New Brunswick ,3,6,1,6,7,14,25,7,1305045,Rothesay
New Brunswick ,1,2,0,2,0,11,10,10,1305057,Quispamsis
New Brunswick ,0,0,0,0,0,0,3,2,1306001,Hopewell
New Brunswick ,0,0,0,0,0,0,2,6,1306006,Alma
New Brunswick ,0,0,0,0,0,2,1,2,1306014,Coverdale
New Brunswick ,1,1,1,2,1,6,16,4,1306020,Riverview
New Brunswick ,2,2,3,10,1,15,10,25,1307001,Westmorland
New Brunswick ,0,0,10,11,2,2,3,6,1307004,Botsford
New Brunswick ,93,125,178,200,371,320,682,402,1307005,Beaubassin East / Beaubassin-est
New Brunswick ,416,645,209,410,872,90,"1,356",580,1307007,Cap-Pelé
New Brunswick ,1,1,5,3,7,10,37,44,1307009,Sackville
New Brunswick ,48,52,45,71,73,49,101,126,1307013,Memramcook
New Brunswick ,17,1,15,15,59,54,425,249,1307016,Shediac
New Brunswick ,4,1,2,8,4,10,35,40,1307019,Moncton
New Brunswick ,33,34,73,62,60,73,184,359,1307022,Moncton
New Brunswick ,3,0,0,2,0,7,0,0,1307024,Salisbury
New Brunswick ,1,4,10,0,10,12,13,16,1307028,Salisbury
New Brunswick ,21,14,35,18,11,61,95,71,1307045,Dieppe
New Brunswick ,65,153,144,121,141,150,268,163,1307052,Shediac
New Brunswick ,39,13,55,85,250,20,354,239,1308001,Dundas
New Brunswick ,0,0,0,0,0,3,10,6,1308002,Cocagne
New Brunswick ,0,0,0,6,44,81,96,101,1308004,Wellington
New Brunswick ,0,1,1,1,4,17,68,53,1308005,Bouctouche
New Brunswick ,0,0,0,0,0,0,2,10,1308007,Saint-Antoine
New Brunswick ,1,1,0,0,0,0,0,0,1308015,Richibucto 15
New Brunswick ,92,224,106,132,188,100,367,115,1308016,Richibucto
New Brunswick ,0,0,0,0,0,8,12,3,1308017,Rexton
New Brunswick ,0,1,0,0,12,36,71,0,1308018,Richibucto
New Brunswick ,0,0,0,0,0,2,2,2,1308019,Saint-Charles
New Brunswick ,0,13,22,24,38,23,29,31,1308021,Saint-Louis
New Brunswick ,0,0,0,0,0,0,0,3,1308024,Acadieville
New Brunswick ,31,13,31,32,17,423,235,208,1308026,Carleton
New Brunswick ,0,0,0,40,100,183,412,147,1309001,Hardwicke
New Brunswick ,1,0,0,0,0,0,0,0,1309006,Chatham
New Brunswick ,0,0,0,0,0,0,0,2,1309011,Derby
New Brunswick ,0,0,0,0,0,0,2,1,1309018,Blackville
New Brunswick ,0,0,1,0,0,0,0,0,1309022,Doaktown
New Brunswick ,0,0,0,1,0,1,2,0,1309028,Northesk
New Brunswick ,2,3,3,3,3,2,3,7,1309036,Alnwick
New Brunswick ,0,0,20,40,0,60,79,80,1309038,Neguac
New Brunswick ,6,4,2,5,3,56,25,63,1309050,Miramichi
New Brunswick ,0,0,0,0,0,0,0,1,1310001,New Maryland
New Brunswick ,0,0,0,0,0,0,1,0,1310002,New Maryland
New Brunswick ,0,0,0,0,0,0,0,2,1310004,Manners Sutton
New Brunswick ,1,1,1,3,0,14,5,20,1310016,Prince William
New Brunswick ,0,0,0,0,1,0,9,8,1310017,Hanwell
New Brunswick ,1,0,0,0,0,0,0,0,1310018,Kingsclear
New Brunswick ,1,0,0,0,0,0,0,0,1310024,Southampton
New Brunswick ,0,0,0,0,0,18,4,6,1310028,Douglas
New Brunswick ,0,7,0,1,0,0,5,5,1310031,Saint Marys
New Brunswick ,15,21,16,35,33,63,134,115,1310032,Fredericton
New Brunswick ,3,1,1,2,2,1,1,4,1310054,Nackawic
New Brunswick ,0,0,0,1,1,3,0,0,1311001,Richmond
New Brunswick ,0,2,3,2,1,1,0,5,1311004,Woodstock
New Brunswick ,2,19,71,55,76,70,84,46,1311006,Woodstock
New Brunswick ,37,36,46,68,62,78,81,77,1311008,Northampton
New Brunswick ,0,0,0,3,0,0,8,1,1311011,Brighton
New Brunswick ,1,0,0,0,0,0,1,0,1311012,Hartland
New Brunswick ,58,30,37,112,5,6,58,14,1311014,Wakefield
New Brunswick ,4,4,4,0,0,0,0,0,1311018,Wilmot
New Brunswick ,0,0,0,0,0,4,38,14,1311019,Centreville
New Brunswick ,0,10,10,7,7,5,1,0,1311021,Simonds
New Brunswick ,2,2,0,1,0,0,0,0,1311024,Peel
New Brunswick ,0,0,0,4,18,16,24,23,1311026,Aberdeen
New Brunswick ,9,7,6,38,7,72,70,3,1311027,Florenceville-Bristol
New Brunswick ,0,0,0,4,0,0,7,0,1311028,Kent
New Brunswick ,0,0,0,0,0,0,14,18,1311031,Wicklow
New Brunswick ,0,0,0,0,0,0,0,2,1312004,Perth
New Brunswick ,5,0,0,0,3,4,44,0,1312006,Perth-Andover
New Brunswick ,0,0,0,2,0,0,0,2,1312014,Denmark
New Brunswick ,0,0,0,21,48,40,11,57,1312016,Grand Falls
New Brunswick ,0,2,1,13,1,0,7,33,1312019,Grand Falls / Grand-Sault
New Brunswick ,1,0,0,0,3,3,4,10,1312021,Drummond
New Brunswick ,0,0,0,0,0,0,0,10,1312023,Drummond
New Brunswick ,0,0,6,0,8,4,8,6,1313001,Saint-André
New Brunswick ,0,0,0,0,0,2,0,4,1313002,Saint-André
New Brunswick ,0,0,0,0,0,4,0,25,1313004,Saint-Léonard
New Brunswick ,0,0,0,3,1,0,10,4,1313006,Saint-Léonard
New Brunswick ,0,0,0,0,0,0,0,2,1313011,Sainte-Anne
New Brunswick ,0,0,0,0,1,0,0,0,1313020,St. Basile 10
New Brunswick ,0,0,0,0,0,1,4,0,1313022,Saint-Joseph
New Brunswick ,2,0,0,0,0,2,7,1,1313024,Saint-Jacques
New Brunswick ,4,0,0,4,3,8,9,39,1313027,Edmundston
New Brunswick ,0,0,0,1,0,0,0,4,1313033,St. Hilaire
New Brunswick ,0,0,0,0,0,0,2,0,1313035,Baker-Brook
New Brunswick ,0,0,0,14,9,15,8,25,1313039,Clair
New Brunswick ,0,0,0,0,0,0,2,5,1313041,Saint-François
New Brunswick ,0,0,0,0,0,1,53,20,1313042,Saint-François de Madawaska
New Brunswick ,0,0,1,0,0,0,0,0,1314003,Colborne
New Brunswick ,0,0,0,0,0,0,4,2,1314011,Eel River Crossing
New Brunswick ,0,0,0,0,0,0,5,4,1314013,Atholville
New Brunswick ,0,2,0,4,1,0,11,32,1314014,Campbellton
New Brunswick ,0,0,0,0,0,0,0,7,1314020,Kedgwick
New Brunswick ,0,3,2,6,1,2,35,13,1314021,Saint-Quentin
New Brunswick ,0,0,0,0,0,2,2,7,1314022,Saint-Quentin
New Brunswick ,3,0,0,0,0,1,4,0,1314025,Belledune
New Brunswick ,27,27,28,28,32,0,43,68,1315002,Tracadie
New Brunswick ,2,1,2,1,0,8,17,80,1315011,Bathurst
New Brunswick ,0,0,0,0,0,2,0,0,1315014,Petit-Rocher
New Brunswick ,0,0,0,0,0,5,8,0,1315015,Beresford
New Brunswick ,0,0,0,0,2,0,0,3,1315020,Paquetville
New Brunswick ,0,1,1,0,0,3,30,6,1315021,Saint-Isidore
New Brunswick ,15,0,0,0,0,0,0,0,1315022,Saint-Isidore
New Brunswick ,0,0,0,0,0,23,0,0,1315024,Inkerman
New Brunswick ,17,0,36,0,17,50,50,50,1315026,Caraquet
New Brunswick ,0,0,0,0,0,110,186,91,1315027,Bas-Caraquet
New Brunswick ,0,1,2,1,4,2,1,11,1315028,Caraquet
New Brunswick ,0,0,0,1,6,1,0,1,1315031,Shippagan
New Brunswick ,0,0,0,0,0,105,157,105,1315032,Lamèque
New Brunswick ,0,0,0,0,0,0,72,48,1315033,Sainte-Marie-Saint-Raphaël
New Brunswick ,0,0,0,0,0,20,87,36,1315037,Nigadoo
New Brunswick ,2,2,2,3,26,47,167,92,1315038,Grande-Anse
New Brunswick ,245,133,11,9,15,28,63,56,Unspecified,
Quebec,0,30,34,68,0,125,259,261,2401023,Les Îles-de-la-Madeleine
Quebec,0,0,0,0,0,0,0,38,2401042,Grosse-Île
Quebec,4,3,15,14,22,2,24,9,2402005,Percé
Quebec,0,0,48,55,35,111,166,333,2402010,Sainte-Thérèse-de-Gaspé
Quebec,0,0,0,0,0,7,46,24,2402015,Grande-Rivière
Quebec,0,1,10,0,0,28,33,47,2402028,Chandler
Quebec,0,1,0,0,1,1,0,2,2402047,Port-Daniel--Gascons
Quebec,4,9,12,35,91,47,341,182,2403005,Gaspé
Quebec,0,0,0,4,8,8,18,0,2404025,Marsoui
Quebec,1,0,1,0,3,2,16,23,2404037,Sainte-Anne-des-Monts
Quebec,0,0,0,0,0,0,10,3,2404047,Cap-Chat
Quebec,0,0,0,0,0,0,10,2,2405010,Shigawake
Quebec,0,0,0,0,0,0,0,1,2405020,Hope Town
Quebec,0,0,0,2,0,35,113,0,2405032,Paspébiac
Quebec,0,0,2,2,3,3,5,2,2405045,Bonaventure
Quebec,8,20,35,40,40,35,80,0,2405055,Saint-Siméon
Quebec,0,0,0,0,0,2,6,7,2405060,Caplan
Quebec,20,4,9,8,0,10,25,23,2405070,New Richmond
Quebec,0,0,0,0,0,6,12,2,2405077,Cascapédia--Saint-Jules
Quebec,4,3,3,2,1,3,13,20,2406005,Maria
Quebec,1,4,4,6,14,12,15,14,2406013,Carleton-sur-Mer
Quebec,0,0,0,1,1,0,0,0,2406020,Nouvelle
Quebec,0,0,0,0,0,0,0,2,2406030,Pointe-à-la-Croix
Quebec,0,0,0,1,2,0,13,1,2407018,Causapscal
Quebec,0,0,0,1,0,1,0,0,2407030,Saint-Léon-le-Grand
Quebec,0,0,0,1,2,1,4,2,2407035,Saint-Zénon-du-Lac-Humqui
Quebec,0,0,0,0,0,0,0,1,2407040,Sainte-Irène
Quebec,0,0,0,1,4,5,18,22,2407047,Amqui
Quebec,0,0,0,12,8,10,51,12,2407057,Lac-au-Saumon
Quebec,0,0,2,2,2,0,0,0,2407065,Saint-Alexandre-des-Lacs
Quebec,0,1,1,1,0,2,1,1,2407070,Saint-Tharcisius
Quebec,0,0,4,9,6,17,19,24,2407080,Val-Brillant
Quebec,0,0,0,0,0,2,11,11,2407100,Saint-Noël
Quebec,0,0,1,9,7,7,10,15,2407105,Saint-Damase
Quebec,0,0,0,0,4,1,0,0,2408005,Les Méchins
Quebec,0,0,0,0,2,2,7,3,2408023,Sainte-Félicité
Quebec,4,4,7,22,57,81,175,264,2408053,Matane
Quebec,1,0,1,3,2,2,4,13,2408073,Saint-Ulric
Quebec,4,2,6,7,10,13,10,14,2408080,Baie-des-Sables
Quebec,0,0,0,0,0,0,2,5,2409005,La Rédemption
Quebec,0,0,0,0,0,0,3,4,2409010,Saint-Charles-Garnier
Quebec,0,0,0,3,4,7,3,5,2409015,Les Hauteurs
Quebec,0,0,0,0,0,10,2,18,2409025,Saint-Gabriel-de-Rimouski
Quebec,0,1,2,3,1,0,0,4,2409030,Saint-Donat
Quebec,0,0,0,0,0,0,0,4,2409035,Sainte-Angèle-de-Mérici
