province/territory,2016,2017,2018,2019,2020,2021,2022,2023,csd_code,csd_name
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1001452,"Division No. 1, Subd. O"
Newfoundland and Labrador,0.0,0.0,0.0,4.0,2.0,14.0,13.0,0.0,1001469,Harbour Main-Chapel's Cove-Lakeview
Newfoundland and Labrador,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1001472,Holyrood
Newfoundland and Labrador,5.0,3.0,10.0,13.0,2.0,11.0,5.0,13.0,1001485,Conception Bay South
Newfoundland and Labrador,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1001504,Portugal Cove-St. Philip's
Newfoundland and Labrador,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1001509,Torbay
Newfoundland and Labrador,2.0,0.0,135.0,81.0,19.0,4.0,58.0,34.0,1001511,Logy Bay-Middle Cove-Outer Cove
Newfoundland and Labrador,2.0,2.0,1.0,5.0,1.0,5.0,10.0,3.0,1001517,Paradise
Newfoundland and Labrador,126.0,75.0,87.0,208.0,273.0,503.0,575.0,440.0,1001519,St. John's
Newfoundland and Labrador,18.0,12.0,2.0,13.0,1.0,4.0,17.0,26.0,1001542,Mount Pearl
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001551,Petty Harbour-Maddox Cove
Newfoundland and Labrador,6.0,17.0,13.0,9.0,1.0,5.0,10.0,3.0,1001557,Bay Bulls
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,1001559,Witless Bay
Newfoundland and Labrador,0.0,0.0,3.0,2.0,2.0,0.0,1.0,4.0,1002005,Burin
Newfoundland and Labrador,0.0,5.0,0.0,0.0,0.0,0.0,10.0,39.0,1002008,St. Lawrence
Newfoundland and Labrador,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1002012,Lamaline
Newfoundland and Labrador,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1002018,Fortune
Newfoundland and Labrador,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,1002019,Grand Bank
Newfoundland and Labrador,1.0,1.0,1.0,0.0,0.0,3.0,13.0,5.0,1002024,Marystown
Newfoundland and Labrador,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1002031,"Division No. 2, Subd. C"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,1003004,Belleoram
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1003008,Harbour Breton
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1003011,Hermitage-Sandyville
Newfoundland and Labrador,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1003045,Rose Blanche-Harbour le Cou
Newfoundland and Labrador,6.0,6.0,10.0,8.0,11.0,10.0,30.0,20.0,1004006,"Division No. 4, Subd. B"
Newfoundland and Labrador,3.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1004019,Stephenville
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1005001,"Division No. 5, Subd. A"
Newfoundland and Labrador,1.0,0.0,1.0,2.0,1.0,2.0,11.0,12.0,1005004,Deer Lake
Newfoundland and Labrador,2.0,4.0,6.0,3.0,8.0,11.0,6.0,15.0,1005014,Cormack
Newfoundland and Labrador,11.0,4.0,3.0,3.0,6.0,7.0,14.0,11.0,1005018,Corner Brook
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1005020,Humber Arm South
Newfoundland and Labrador,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1005023,Cox's Cove
Newfoundland and Labrador,3.0,2.0,3.0,5.0,9.0,9.0,9.0,21.0,1006009,Gander
Newfoundland and Labrador,4.0,0.0,2.0,16.0,13.0,14.0,13.0,11.0,1006017,Grand Falls-Windsor
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1006019,Bishop's Falls
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,40.0,46.0,1007006,"Division No. 7, Subd. L"
Newfoundland and Labrador,2.0,4.0,0.0,3.0,2.0,4.0,6.0,6.0,1007013,Clarenville
Newfoundland and Labrador,0.0,5.0,0.0,0.0,2.0,6.0,3.0,5.0,1007031,"Division No. 7, Subd. E"
Newfoundland and Labrador,2.0,2.0,2.0,2.0,2.0,0.0,25.0,0.0,1007032,Musgravetown
Newfoundland and Labrador,0.0,0.0,0.0,12.0,10.0,15.0,24.0,2.0,1007044,Glovertown
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1007050,Centreville-Wareham-Trinity
Newfoundland and Labrador,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1008024,Change Islands
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1008039,Comfort Cove-Newstead
Newfoundland and Labrador,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1008042,"Division No. 8, Subd. F"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,1008054,Triton
Newfoundland and Labrador,2.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,1008061,Springdale
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1008069,King's Point
Newfoundland and Labrador,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1008079,Baie Verte
Newfoundland and Labrador,1.0,0.0,0.0,2.0,0.0,1.0,0.0,27.0,1008099,Fogo Island
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1009007,Roddickton-Bide Arm
Newfoundland and Labrador,0.0,0.0,0.0,16.0,10.0,0.0,3.0,3.0,1009011,"Woody Point, Bonne Bay"
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1009013,Rocky Harbour
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,1009022,Port au Choix
Newfoundland and Labrador,3.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,1009029,St. Anthony
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1009048,River of Ponds
Newfoundland and Labrador,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010004,L'Anse-au-Clair
Newfoundland and Labrador,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1010005,Forteau
Newfoundland and Labrador,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010009,Port Hope Simpson
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1010022,North West River
Newfoundland and Labrador,9.0,10.0,10.0,18.0,1.0,5.0,6.0,6.0,1010025,Happy Valley-Goose Bay
Newfoundland and Labrador,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1010029,"Division No. 10, Subd. D"
Newfoundland and Labrador,1.0,1.0,21.0,8.0,5.0,3.0,20.0,14.0,1010032,Labrador City
Newfoundland and Labrador,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1010034,Wabush
Newfoundland and Labrador,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011030,Hopedale
Newfoundland and Labrador,1486.0,968.0,53.0,14.0,355.0,1.0,0.0,49.0,Unspecified,0
Prince Edward Island,101.0,100.0,99.0,101.0,71.0,110.0,327.0,188.0,1101001,Lot 64
Prince Edward Island,8.0,47.0,23.0,40.0,226.0,139.0,128.0,32.0,1101006,Lot 63
Prince Edward Island,102.0,102.0,102.0,102.0,102.0,183.0,124.0,125.0,1101024,Georgetown
Prince Edward Island,12.0,18.0,39.0,32.0,38.0,66.0,66.0,70.0,1101028,Lot 55
Prince Edward Island,20.0,60.0,0.0,33.0,0.0,40.0,50.0,0.0,1101039,Lot 47
Prince Edward Island,14.0,15.0,16.0,15.0,15.0,0.0,22.0,25.0,1101048,Morell
Prince Edward Island,22.0,10.0,10.0,31.0,6.0,24.0,29.0,15.0,1102004,Lot 60
Prince Edward Island,0.0,0.0,2.0,6.0,0.0,0.0,22.0,30.0,1102006,Lot 58
Prince Edward Island,44.0,46.0,46.0,101.0,99.0,90.0,95.0,71.0,1102009,Lot 50
Prince Edward Island,95.0,87.0,97.0,104.0,118.0,81.0,120.0,139.0,1102012,Lot 49
Prince Edward Island,0.0,0.0,1.0,2.0,0.0,2.0,11.0,7.0,1102014,Lot 48
Prince Edward Island,14.0,26.0,14.0,12.0,41.0,35.0,69.0,28.0,1102026,Lot 31
Prince Edward Island,4.0,3.0,7.0,1.0,2.0,5.0,10.0,9.0,1102028,Lot 65
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1102029,Lot 30
Prince Edward Island,7.0,11.0,14.0,11.0,16.0,14.0,19.0,36.0,1102031,Lot 29
Prince Edward Island,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1102033,Meadowbank
Prince Edward Island,19.0,15.0,20.0,23.0,35.0,41.0,38.0,71.0,1102036,Lot 67
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1102040,Miltonvale Park
Prince Edward Island,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1102044,Lot 24
Prince Edward Island,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,1102046,North Rustico
Prince Edward Island,3.0,8.0,4.0,4.0,4.0,4.0,0.0,0.0,1102051,Breadalbane
Prince Edward Island,27.0,42.0,30.0,38.0,32.0,11.0,29.0,6.0,1102052,Lot 34
Prince Edward Island,16.0,9.0,17.0,4.0,9.0,10.0,11.0,11.0,1102056,Lot 36
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1102070,Warren Grove
Prince Edward Island,29.0,45.0,44.0,60.0,24.0,66.0,111.0,116.0,1102075,Charlottetown
Prince Edward Island,0.0,0.0,1.0,22.0,12.0,3.0,28.0,19.0,1102080,Stratford
Prince Edward Island,21.0,42.0,75.0,0.0,0.0,0.0,4.0,5.0,1102085,Cornwall
Prince Edward Island,10.0,10.0,16.0,31.0,35.0,47.0,196.0,95.0,1103005,Borden-Carleton
Prince Edward Island,5.0,0.0,27.0,14.0,20.0,2.0,41.0,7.0,1103009,Lot 26
Prince Edward Island,2.0,3.0,13.0,6.0,30.0,14.0,18.0,23.0,1103011,Lot 25
Prince Edward Island,17.0,21.0,19.0,32.0,25.0,36.0,62.0,39.0,1103014,Kensington
Prince Edward Island,4.0,25.0,40.0,41.0,43.0,40.0,65.0,29.0,1103025,Summerside
Prince Edward Island,27.0,0.0,8.0,8.0,1.0,0.0,34.0,8.0,1103031,Lot 14
Prince Edward Island,0.0,6.0,0.0,0.0,4.0,3.0,7.0,14.0,1103033,Tyne Valley
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,4.0,7.0,15.0,1103034,Lot 12
Prince Edward Island,90.0,94.0,121.0,137.0,227.0,89.0,88.0,161.0,1103049,Lot 5
Prince Edward Island,107.0,45.0,49.0,65.0,301.0,195.0,147.0,149.0,1103051,Lot 4
Prince Edward Island,3.0,6.0,3.0,0.0,0.0,3.0,6.0,0.0,1103052,Alberton
Prince Edward Island,10.0,18.0,12.0,13.0,14.0,21.0,24.0,29.0,1103054,Lot 3
Prince Edward Island,36.0,111.0,37.0,67.0,129.0,125.0,272.0,126.0,1103058,Lot 1
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1103062,Miminegash
Prince Edward Island,75.0,29.0,2.0,20.0,41.0,0.0,4.0,4.0,Unspecified,0
Nova Scotia,0.0,1.0,0.0,25.0,33.0,64.0,142.0,152.0,1201001,Barrington
Nova Scotia,1.0,0.0,0.0,0.0,6.0,14.0,27.0,12.0,1201006,Shelburne
Nova Scotia,0.0,0.0,0.0,0.0,0.0,10.0,8.0,10.0,1201009,Lockeport
Nova Scotia,15.0,20.0,30.0,42.0,48.0,99.0,140.0,158.0,1202001,Argyle
Nova Scotia,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,1202004,Yarmouth
Nova Scotia,2.0,0.0,2.0,1.0,2.0,17.0,23.0,31.0,1202006,Yarmouth
Nova Scotia,36.0,82.0,47.0,92.0,93.0,259.0,149.0,45.0,1203001,Clare
Nova Scotia,1.0,2.0,6.0,22.0,19.0,34.0,101.0,60.0,1203004,Digby
Nova Scotia,7.0,6.0,0.0,5.0,0.0,8.0,6.0,21.0,1204010,Queens
Nova Scotia,4.0,9.0,14.0,12.0,10.0,10.0,23.0,31.0,1205004,"Annapolis, Subd. A"
Nova Scotia,23.0,23.0,35.0,35.0,43.0,56.0,105.0,76.0,1205009,"Annapolis, Subd. B"
Nova Scotia,0.0,0.0,1.0,0.0,6.0,15.0,23.0,43.0,1205014,"Annapolis, Subd. C"
Nova Scotia,73.0,102.0,77.0,115.0,118.0,109.0,169.0,140.0,1206001,Lunenburg
Nova Scotia,6.0,6.0,7.0,1.0,0.0,2.0,11.0,10.0,1206004,Bridgewater
Nova Scotia,34.0,38.0,38.0,78.0,48.0,75.0,144.0,127.0,1206009,Chester
Nova Scotia,515.0,451.0,508.0,470.0,690.0,662.0,881.0,1064.0,1207001,"Kings, Subd. A"
Nova Scotia,43.0,36.0,36.0,49.0,66.0,61.0,73.0,57.0,1207002,Cambridge 32
Nova Scotia,6.0,0.0,3.0,4.0,5.0,0.0,11.0,38.0,1207011,"Kings, Subd. C"
Nova Scotia,1.0,0.0,0.0,0.0,8.0,2.0,12.0,3.0,1207012,Kentville
Nova Scotia,420.0,539.0,854.0,582.0,684.0,840.0,605.0,802.0,1207016,"Kings, Subd. B"
Nova Scotia,125.0,143.0,188.0,145.0,198.0,156.0,214.0,132.0,1207021,"Kings, Subd. D"
Nova Scotia,2.0,3.0,12.0,10.0,7.0,8.0,11.0,22.0,1207024,Wolfville
Nova Scotia,0.0,0.0,2.0,2.0,0.0,0.0,17.0,56.0,1208001,West Hants
Nova Scotia,21.0,25.0,7.0,0.0,0.0,5.0,19.0,43.0,1208002,Windsor
Nova Scotia,9.0,5.0,4.0,9.0,3.0,10.0,33.0,40.0,1208008,East Hants
Nova Scotia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1208014,Indian Brook 14
Nova Scotia,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1209019,Cole Harbour 30
Nova Scotia,329.0,227.0,305.0,334.0,282.0,397.0,913.0,922.0,1209034,Halifax
Nova Scotia,39.0,16.0,23.0,14.0,17.0,17.0,20.0,34.0,1210001,"Colchester, Subd. C"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,1210003,Millbrook 27
Nova Scotia,3.0,2.0,19.0,4.0,3.0,3.0,18.0,35.0,1210006,Truro
Nova Scotia,11.0,42.0,60.0,150.0,79.0,73.0,94.0,87.0,1210008,"Colchester, Subd. B"
Nova Scotia,265.0,319.0,778.0,209.0,292.0,375.0,648.0,414.0,1210012,"Colchester, Subd. A"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1211001,"Cumberland, Subd. A"
Nova Scotia,1.0,1.0,0.0,0.0,0.0,6.0,15.0,17.0,1211006,"Cumberland, Subd. B"
Nova Scotia,20.0,24.0,24.0,26.0,34.0,61.0,101.0,42.0,1211009,"Cumberland, Subd. C"
Nova Scotia,3.0,2.0,1.0,1.0,0.0,2.0,9.0,6.0,1211011,Amherst
Nova Scotia,6.0,34.0,67.0,70.0,67.0,146.0,123.0,112.0,1211014,"Cumberland, Subd. D"
Nova Scotia,80.0,84.0,50.0,89.0,101.0,213.0,192.0,4.0,1212001,"Pictou, Subd. A"
Nova Scotia,5.0,2.0,1.0,3.0,2.0,3.0,16.0,8.0,1212006,"Pictou, Subd. B"
Nova Scotia,0.0,2.0,2.0,1.0,0.0,0.0,2.0,6.0,1212008,Westville
Nova Scotia,0.0,29.0,15.0,28.0,40.0,98.0,52.0,56.0,1212011,"Pictou, Subd. C"
Nova Scotia,10.0,2.0,1.0,2.0,2.0,1.0,4.0,16.0,1212014,New Glasgow
Nova Scotia,0.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1213004,Guysborough
Nova Scotia,1.0,6.0,8.0,6.0,4.0,6.0,0.0,7.0,1214001,"Antigonish, Subd. A"
Nova Scotia,6.0,3.0,1.0,4.0,4.0,3.0,3.0,7.0,1214002,Antigonish
Nova Scotia,7.0,14.0,10.0,15.0,16.0,9.0,40.0,30.0,1214006,"Antigonish, Subd. B"
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1215001,"Inverness, Subd. C"
Nova Scotia,2.0,3.0,0.0,7.0,1.0,1.0,5.0,18.0,1215002,Port Hawkesbury
Nova Scotia,0.0,0.0,0.0,0.0,1.0,0.0,2.0,32.0,1215006,"Inverness, Subd. B"
Nova Scotia,0.0,56.0,60.0,34.0,125.0,76.0,96.0,107.0,1215011,"Inverness, Subd. A"
Nova Scotia,22.0,9.0,8.0,0.0,20.0,40.0,94.0,57.0,1216001,"Richmond, Subd. C"
Nova Scotia,0.0,3.0,2.0,8.0,0.0,8.0,12.0,14.0,1216006,"Richmond, Subd. A"
Nova Scotia,1.0,1.0,0.0,0.0,0.0,0.0,10.0,17.0,1216011,"Richmond, Subd. B"
Nova Scotia,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1217008,Membertou 28B
Nova Scotia,80.0,36.0,35.0,28.0,32.0,61.0,143.0,81.0,1217030,Cape Breton
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1218001,"Victoria, Subd. B"
Nova Scotia,0.0,21.0,1.0,13.0,0.0,36.0,2.0,84.0,1218006,"Victoria, Subd. A"
Nova Scotia,221.0,270.0,51.0,76.0,41.0,7.0,17.0,26.0,Unspecified,0
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1301004,Simonds
New Brunswick,50.0,36.0,44.0,68.0,53.0,104.0,137.0,120.0,1301006,Saint John
New Brunswick,0.0,2.0,0.0,0.0,0.0,0.0,11.0,16.0,1301016,Musquash
New Brunswick,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1302006,West Isles
New Brunswick,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1302008,Lepreau
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1302011,Pennfield
New Brunswick,0.0,0.0,1.0,0.0,0.0,20.0,62.0,36.0,1302012,Blacks Harbour
New Brunswick,15.0,21.0,2.0,11.0,1.0,2.0,9.0,15.0,1302016,Saint George
New Brunswick,0.0,2.0,0.0,1.0,43.0,4.0,4.0,7.0,1302018,St. George
New Brunswick,2.0,1.0,0.0,0.0,6.0,1.0,6.0,8.0,1302026,Saint Andrews
New Brunswick,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302034,Saint Stephen
New Brunswick,0.0,1.0,0.0,0.0,9.0,2.0,14.0,13.0,1302037,St. Stephen
New Brunswick,0.0,0.0,0.0,7.0,0.0,13.0,10.0,21.0,1302042,Saint David
New Brunswick,1.0,1.0,2.0,0.0,0.0,4.0,9.0,7.0,1302052,Grand Manan
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1303004,Gladstone
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1303006,Fredericton Junction
New Brunswick,7.0,6.0,3.0,6.0,5.0,5.0,12.0,4.0,1303008,Lincoln
New Brunswick,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303011,Burton
New Brunswick,1.0,1.0,3.0,3.0,4.0,1.0,7.0,11.0,1303012,Oromocto
New Brunswick,0.0,3.0,3.0,5.0,5.0,10.0,16.0,16.0,1303016,Maugerville
New Brunswick,4.0,3.0,5.0,13.0,14.0,7.0,7.0,10.0,1304018,Waterborough
New Brunswick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1304024,Chipman
New Brunswick,0.0,0.0,0.0,36.0,10.0,26.0,0.0,40.0,1304025,Chipman
New Brunswick,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305006,Hampton
New Brunswick,1.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,1305007,Hampton
New Brunswick,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1305014,Kingston
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1305016,Norton
New Brunswick,4.0,0.0,2.0,6.0,1.0,5.0,18.0,0.0,1305018,Norton
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1305021,Sussex
New Brunswick,1.0,0.0,0.0,0.0,2.0,0.0,16.0,4.0,1305022,Sussex
New Brunswick,8.0,6.0,12.0,8.0,7.0,6.0,27.0,7.0,1305023,Sussex Corner
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1305024,Waterford
New Brunswick,0.0,4.0,0.0,27.0,1.0,35.0,30.0,102.0,1305026,Cardwell
New Brunswick,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1305028,Havelock
New Brunswick,29.0,38.0,19.0,17.0,34.0,22.0,21.0,25.0,1305031,Studholm
New Brunswick,4.0,0.0,5.0,5.0,14.0,0.0,9.0,13.0,1305034,Springfield
New Brunswick,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1305038,Greenwich
New Brunswick,3.0,6.0,1.0,6.0,7.0,14.0,25.0,7.0,1305045,Rothesay
New Brunswick,1.0,2.0,0.0,2.0,0.0,11.0,10.0,10.0,1305057,Quispamsis
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1306001,Hopewell
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1306006,Alma
New Brunswick,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1306014,Coverdale
New Brunswick,1.0,1.0,1.0,2.0,1.0,6.0,16.0,4.0,1306020,Riverview
New Brunswick,2.0,2.0,3.0,10.0,1.0,15.0,10.0,25.0,1307001,Westmorland
New Brunswick,0.0,0.0,10.0,11.0,2.0,2.0,3.0,6.0,1307004,Botsford
New Brunswick,93.0,125.0,178.0,200.0,371.0,320.0,682.0,402.0,1307005,Beaubassin East / Beaubassin-est
New Brunswick,416.0,645.0,209.0,410.0,872.0,90.0,1356.0,580.0,1307007,Cap-Pelé
New Brunswick,1.0,1.0,5.0,3.0,7.0,10.0,37.0,44.0,1307009,Sackville
New Brunswick,48.0,52.0,45.0,71.0,73.0,49.0,101.0,126.0,1307013,Memramcook
New Brunswick,17.0,1.0,15.0,15.0,59.0,54.0,425.0,249.0,1307016,Shediac
New Brunswick,4.0,1.0,2.0,8.0,4.0,10.0,35.0,40.0,1307019,Moncton
New Brunswick,33.0,34.0,73.0,62.0,60.0,73.0,184.0,359.0,1307022,Moncton
New Brunswick,3.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1307024,Salisbury
New Brunswick,1.0,4.0,10.0,0.0,10.0,12.0,13.0,16.0,1307028,Salisbury
New Brunswick,21.0,14.0,35.0,18.0,11.0,61.0,95.0,71.0,1307045,Dieppe
New Brunswick,65.0,153.0,144.0,121.0,141.0,150.0,268.0,163.0,1307052,Shediac
New Brunswick,39.0,13.0,55.0,85.0,250.0,20.0,354.0,239.0,1308001,Dundas
New Brunswick,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.0,1308002,Cocagne
New Brunswick,0.0,0.0,0.0,6.0,44.0,81.0,96.0,101.0,1308004,Wellington
New Brunswick,0.0,1.0,1.0,1.0,4.0,17.0,68.0,53.0,1308005,Bouctouche
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1308007,Saint-Antoine
New Brunswick,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1308015,Richibucto 15
New Brunswick,92.0,224.0,106.0,132.0,188.0,100.0,367.0,115.0,1308016,Richibucto
New Brunswick,0.0,0.0,0.0,0.0,0.0,8.0,12.0,3.0,1308017,Rexton
New Brunswick,0.0,1.0,0.0,0.0,12.0,36.0,71.0,0.0,1308018,Richibucto
New Brunswick,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1308019,Saint-Charles
New Brunswick,0.0,13.0,22.0,24.0,38.0,23.0,29.0,31.0,1308021,Saint-Louis
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1308024,Acadieville
New Brunswick,31.0,13.0,31.0,32.0,17.0,423.0,235.0,208.0,1308026,Carleton
New Brunswick,0.0,0.0,0.0,40.0,100.0,183.0,412.0,147.0,1309001,Hardwicke
New Brunswick,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309006,Chatham
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1309011,Derby
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1309018,Blackville
New Brunswick,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1309022,Doaktown
New Brunswick,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1309028,Northesk
New Brunswick,2.0,3.0,3.0,3.0,3.0,2.0,3.0,7.0,1309036,Alnwick
