Economic Region,2016,2017,2018,2019,2020,2021,2022,2023,province_region,region_code
4710 - Regina--Moose Mountain ,308,237,237,324,220,293,641,721,Saskatchewan,4710
4720 - Swift Current--Moose Jaw ,97,107,85,209,149,78,350,312,Saskatchewan,4720
4730 - Saskatoon--Biggar ,284,283,351,331,301,365,689,953,Saskatchewan,4730
4740 - Yorkton--Melville ,117,126,91,177,145,98,193,282,Saskatchewan,4740
4750 - Prince Albert ,281,308,289,385,345,353,532,810,Saskatchewan,4750
4760 - Northern ,10,6,10,8,2,4,18,9,Saskatchewan,4760
Other ,69,23,35,32,2,27,24,37,Saskatchewan,
4810 - Lethbridge--Medicine Hat ,"1,463","1,448","1,280","1,666","1,439","1,580","2,191","2,722",Alberta,4810
4820 - Camrose--Drumheller ,499,477,531,610,452,575,"1,116","1,176",Alberta,4820
4830 - Calgary ,"2,853","2,401","2,342","3,541","2,160","2,177","7,063","8,983",Alberta,4830
4840 - Banff--Jasper--Rocky Mountain House ,343,368,353,626,308,341,"1,298",948,Alberta,4840
4850 - Red Deer ,395,442,456,507,417,428,"1,177","1,143",Alberta,4850
4860 - Edmonton ,"3,300","2,822","2,563","4,210","2,244","2,763","8,063","9,449",Alberta,4860
4870 - Athabasca--Grande Prairie--Peace River ,680,767,783,"1,127",632,803,"1,585","1,716",Alberta,4870
4880 - Wood Buffalo--Cold Lake ,531,610,514,536,414,407,856,900,Alberta,4880
Other ,168,244,202,117,52,38,101,470,Alberta,
5910 - Vancouver Island and Coast ,"1,491",892,916,"1,302","1,278","1,573","3,281","3,121",British Columbia,5910
5920 - Lower Mainland--Southwest ,"13,310","16,153","19,701","22,890","21,178","20,722","31,660","35,183",British Columbia,5920
5930 - Thompson--Okanagan ,"4,243","4,420","6,830","6,299","6,949","6,882","9,487","11,694",British Columbia,5930
5940 - Kootenay ,224,242,459,446,599,479,"1,162","1,660",British Columbia,5940
5950 - Cariboo ,156,151,265,446,326,245,518,584,British Columbia,5950
5960 - North Coast ,61,40,86,164,119,155,357,309,British Columbia,5960
5970 - Nechako ,28,28,36,111,73,128,244,182,British Columbia,5970
5980 - Northeast ,78,113,136,255,110,227,441,435,British Columbia,5980
Other ,410,402,310,371,229,109,254,127,British Columbia,
6010 - Yukon ,107,119,107,139,40,126,157,136,Yukon,6010
6110 - Northwest Territories ,64,46,21,56,29,30,132,124,Northwest Territories,6110
6210 - Nunavut ,145,41,132,133,46,63,88,122,Nunavut,6210
