province_region,Description,Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Prince Edward Island,Management occupations ,0,9,4,4,3,9,7,4,6
Prince Edward Island,"Business, finance and administration occupations ",1,1,1,0,1,0,2,2,7
Prince Edward Island,Natural and applied sciences and related occupations ,2,32,13,2,1,4,2,5,5
Prince Edward Island,Health occupations ,3,4,4,0,5,4,1,4,8
Prince Edward Island,"Occupations in education, law and social, community and government services ",4,6,3,4,5,0,3,2,2
Prince Edward Island,"Occupations in art, culture, recreation and sport ",5,8,1,0,1,0,0,1,0
Prince Edward Island,Sales and service occupations ,6,11,14,8,14,10,16,120,75
Prince Edward Island,"Trades, transport and equipment operators and related occupations ",7,68,105,114,86,62,67,125,106
Prince Edward Island,"Natural resources, agriculture and related production occupations ",8,358,418,406,526,754,514,687,761
Prince Edward Island,Occupations in manufacturing and utilities ,9,449,493,474,537,881,892,"1,341",741
Nova Scotia,Management occupations ,0,52,60,43,42,48,44,56,54
Nova Scotia,"Business, finance and administration occupations ",1,12,7,8,6,5,18,47,79
Nova Scotia,Natural and applied sciences and related occupations ,2,229,92,46,99,62,119,158,84
Nova Scotia,Health occupations ,3,27,11,11,5,8,7,11,17
Nova Scotia,"Occupations in education, law and social, community and government services ",4,32,29,40,24,23,28,8,22
Nova Scotia,"Occupations in art, culture, recreation and sport ",5,17,3,22,7,0,1,4,3
Nova Scotia,Sales and service occupations ,6,107,110,67,97,78,129,568,892
Nova Scotia,"Trades, transport and equipment operators and related occupations ",7,139,177,178,196,69,206,400,342
Nova Scotia,"Natural resources, agriculture and related production occupations ",8,"1,665","1,890","2,720","1,965","2,366","2,412","2,916","2,939"
Nova Scotia,Occupations in manufacturing and utilities ,9,176,324,259,382,600,"1,197","1,424","1,004"
New Brunswick,Management occupations ,0,10,9,4,6,13,13,32,32
New Brunswick,"Business, finance and administration occupations ",1,11,2,4,6,5,11,38,25
New Brunswick,Natural and applied sciences and related occupations ,2,143,73,43,34,19,29,47,45
New Brunswick,Health occupations ,3,11,17,6,8,11,22,33,238
New Brunswick,"Occupations in education, law and social, community and government services ",4,10,17,9,10,4,13,22,20
New Brunswick,"Occupations in art, culture, recreation and sport ",5,1,0,0,0,0,1,1,1
New Brunswick,Sales and service occupations ,6,94,79,66,139,126,171,436,609
New Brunswick,"Trades, transport and equipment operators and related occupations ",7,225,172,198,266,183,347,616,401
New Brunswick,"Natural resources, agriculture and related production occupations ",8,184,195,197,383,381,522,687,828
New Brunswick,Occupations in manufacturing and utilities ,9,782,"1,236",834,"1,122","2,144","1,886","5,226","2,815"
Quebec,Management occupations ,0,132,129,151,197,201,220,487,593
Quebec,"Business, finance and administration occupations ",1,91,102,103,152,239,252,"1,154","1,674"
Quebec,Natural and applied sciences and related occupations ,2,809,953,"1,371","2,187","1,563","2,236","4,294","3,433"
Quebec,Health occupations ,3,141,92,108,504,729,746,"1,772","2,112"
Quebec,"Occupations in education, law and social, community and government services ",4,334,367,320,526,752,639,"1,336","1,442"
Quebec,"Occupations in art, culture, recreation and sport ",5,"1,043",628,719,859,409,331,"1,036",926
Quebec,Sales and service occupations ,6,270,322,391,809,"1,390","1,144","6,897","8,864"
Quebec,"Trades, transport and equipment operators and related occupations ",7,460,649,"1,310","2,665","3,339","2,382","8,608","8,354"
Quebec,"Natural resources, agriculture and related production occupations ",8,"16,699","13,624","15,852","23,483","21,076","24,706","30,714","27,185"
Quebec,Occupations in manufacturing and utilities ,9,332,750,932,"2,208","3,258","3,043","10,494","7,618"
Ontario,Management occupations ,0,600,591,615,796,"1,020","1,010","1,578","2,246"
Ontario,"Business, finance and administration occupations ",1,382,486,457,848,"1,266",858,"2,003","4,045"
Ontario,Natural and applied sciences and related occupations ,2,978,"1,108","1,364","1,653","1,470","1,901","3,406","2,858"
Ontario,Health occupations ,3,133,123,118,133,193,272,768,"1,136"
Ontario,"Occupations in education, law and social, community and government services ",4,"3,329","3,567","4,258","3,309","1,856","2,512","2,046","2,440"
Ontario,"Occupations in art, culture, recreation and sport ",5,983,707,581,565,266,274,550,448
Ontario,Sales and service occupations ,6,907,"1,368","1,659","2,620","3,441","3,286","8,462","12,891"
Ontario,"Trades, transport and equipment operators and related occupations ",7,825,"1,094","1,184","1,976","2,538","2,725","6,267","7,617"
Ontario,"Natural resources, agriculture and related production occupations ",8,"22,259","29,962","29,777","28,712","28,558","31,377","34,759","38,771"
Ontario,Occupations in manufacturing and utilities ,9,30,108,894,814,882,981,"2,179","2,169"
Manitoba,Management occupations ,0,16,13,20,37,24,28,46,60
Manitoba,"Business, finance and administration occupations ",1,10,9,16,31,28,48,195,377
Manitoba,Natural and applied sciences and related occupations ,2,23,40,99,44,40,65,88,54
Manitoba,Health occupations ,3,27,24,9,17,12,31,35,55
Manitoba,"Occupations in education, law and social, community and government services ",4,57,48,61,72,38,47,36,54
Manitoba,"Occupations in art, culture, recreation and sport ",5,27,11,36,4,2,5,5,8
Manitoba,Sales and service occupations ,6,252,259,266,350,156,334,"1,033","1,223"
Manitoba,"Trades, transport and equipment operators and related occupations ",7,133,129,106,448,383,515,"1,158","1,467"
Manitoba,"Natural resources, agriculture and related production occupations ",8,702,726,840,944,"1,088",733,"1,050","1,322"
Manitoba,Occupations in manufacturing and utilities ,9,1,65,6,5,2,52,234,56
Saskatchewan,Management occupations ,0,19,18,10,14,15,24,23,39
Saskatchewan,"Business, finance and administration occupations ",1,4,5,1,6,3,10,43,68
Saskatchewan,Natural and applied sciences and related occupations ,2,117,87,72,79,27,53,71,48
Saskatchewan,Health occupations ,3,41,42,39,17,28,28,43,30
Saskatchewan,"Occupations in education, law and social, community and government services ",4,79,73,114,77,21,41,28,26
Saskatchewan,"Occupations in art, culture, recreation and sport ",5,3,5,9,4,0,1,7,4
Saskatchewan,Sales and service occupations ,6,171,160,131,276,190,256,855,"1,104"
Saskatchewan,"Trades, transport and equipment operators and related occupations ",7,149,72,94,183,134,180,417,522
Saskatchewan,"Natural resources, agriculture and related production occupations ",8,583,625,622,806,744,618,883,"1,229"
Saskatchewan,Occupations in manufacturing and utilities ,9,0,3,6,4,2,7,77,54
Alberta,Management occupations ,0,511,326,181,272,165,221,386,441
Alberta,"Business, finance and administration occupations ",1,201,161,166,475,359,488,"1,786","2,242"
Alberta,Natural and applied sciences and related occupations ,2,257,194,214,281,152,236,735,469
Alberta,Health occupations ,3,183,99,82,102,75,87,169,376
Alberta,"Occupations in education, law and social, community and government services ",4,"1,250","1,286","1,490","1,097",434,615,592,650
Alberta,"Occupations in art, culture, recreation and sport ",5,151,101,89,87,36,44,100,118
Alberta,Sales and service occupations ,6,"3,763","3,438","2,595","4,673","2,643","3,351","10,271","11,350"
Alberta,"Trades, transport and equipment operators and related occupations ",7,"1,271","1,253","1,233","2,614","1,324","1,034","5,340","6,253"
Alberta,"Natural resources, agriculture and related production occupations ",8,"2,379","2,441","2,763","2,948","2,601","2,859","3,155","4,997"
Alberta,Occupations in manufacturing and utilities ,9,266,280,211,391,329,176,916,611
British Columbia,Management occupations ,0,483,564,460,863,"1,207","1,013","1,411","1,176"
British Columbia,"Business, finance and administration occupations ",1,370,434,413,"1,048","1,060",910,"1,997","2,249"
British Columbia,Natural and applied sciences and related occupations ,2,805,923,779,"1,039","1,004",987,"1,593",914
British Columbia,Health occupations ,3,69,83,65,125,145,176,296,339
British Columbia,"Occupations in education, law and social, community and government services ",4,"1,723","2,100","2,785","2,189","1,450","1,704","1,367","1,389"
British Columbia,"Occupations in art, culture, recreation and sport ",5,"2,198","1,497","1,169","1,046",503,628,931,732
British Columbia,Sales and service occupations ,6,"2,025","3,038","3,416","6,204","4,942","5,164","11,759","11,206"
British Columbia,"Trades, transport and equipment operators and related occupations ",7,"2,564","2,850","2,681","6,140","4,274","5,005","9,359","8,732"
British Columbia,"Natural resources, agriculture and related production occupations ",8,"9,698","10,824","16,804","13,309","15,732","14,289","17,048","25,408"
British Columbia,Occupations in manufacturing and utilities ,9,66,128,167,316,544,644,"1,643","1,150"
Yukon,Management occupations ,0,1,1,1,1,1,3,1,0
Yukon,"Business, finance and administration occupations ",1,0,0,0,0,0,1,3,1
Yukon,Natural and applied sciences and related occupations ,2,4,4,2,0,0,3,1,2
Yukon,Health occupations ,3,0,3,0,0,0,0,0,0
Yukon,"Occupations in education, law and social, community and government services ",4,5,11,7,7,0,1,0,2
Yukon,"Occupations in art, culture, recreation and sport ",5,86,72,85,93,31,111,103,104
Yukon,Sales and service occupations ,6,5,3,3,21,5,5,26,19
Yukon,"Trades, transport and equipment operators and related occupations ",7,6,25,9,17,3,2,23,8
Yukon,"Natural resources, agriculture and related production occupations ",8,0,0,0,0,0,0,0,0
Yukon,Occupations in manufacturing and utilities ,9,0,0,0,0,0,0,0,0
Northwest Territories,Management occupations ,0,3,2,1,5,0,2,4,2
Northwest Territories,"Business, finance and administration occupations ",1,0,1,1,1,0,0,1,1
Northwest Territories,Natural and applied sciences and related occupations ,2,8,5,0,0,0,0,1,13
Northwest Territories,Health occupations ,3,0,0,0,3,2,0,2,2
Northwest Territories,"Occupations in education, law and social, community and government services ",4,11,13,12,7,5,5,2,1
Northwest Territories,"Occupations in art, culture, recreation and sport ",5,1,0,0,0,0,0,0,0
Northwest Territories,Sales and service occupations ,6,30,10,5,37,18,22,106,85
Northwest Territories,"Trades, transport and equipment operators and related occupations ",7,11,13,2,2,2,0,15,20
Northwest Territories,"Natural resources, agriculture and related production occupations ",8,0,0,0,1,1,1,1,0
Northwest Territories,Occupations in manufacturing and utilities ,9,0,2,0,0,1,0,0,0
Nunavut,Management occupations ,0,2,1,4,0,1,0,2,0
Nunavut,"Business, finance and administration occupations ",1,3,0,1,1,3,3,1,3
Nunavut,Natural and applied sciences and related occupations ,2,12,13,27,16,18,17,16,40
Nunavut,Health occupations ,3,2,1,1,0,0,1,3,0
Nunavut,"Occupations in education, law and social, community and government services ",4,6,6,10,2,2,2,1,1
Nunavut,"Occupations in art, culture, recreation and sport ",5,7,1,8,1,0,2,0,0
Nunavut,Sales and service occupations ,6,98,15,49,71,7,9,46,39
Nunavut,"Trades, transport and equipment operators and related occupations ",7,15,4,32,42,15,29,19,39
Nunavut,"Natural resources, agriculture and related production occupations ",8,0,0,0,0,0,0,0,0
Nunavut,Occupations in manufacturing and utilities ,9,0,0,0,0,0,0,0,0
