program_stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region
Low-Wage,51.0,61.0,66.0,130.0,95.0,129.0,304.0,482.0,Manitoba
Primary Agriculture,59.0,59.0,64.0,100.0,71.0,81.0,106.0,103.0,Manitoba
Global Talent,0.0,4.0,8.0,13.0,14.0,20.0,22.0,14.0,Manitoba
Permanent Resident Only,14.0,4.0,4.0,6.0,7.0,8.0,3.0,7.0,Manitoba
High-Wage,93.0,93.0,71.0,98.0,66.0,117.0,178.0,210.0,Saskatchewan
Low-Wage,165.0,166.0,173.0,189.0,112.0,157.0,393.0,494.0,Saskatchewan
Primary Agriculture,116.0,113.0,112.0,180.0,152.0,132.0,189.0,199.0,Saskatchewan
Global Talent,0.0,0.0,2.0,13.0,5.0,11.0,10.0,5.0,Saskatchewan
Permanent Resident Only,5.0,2.0,1.0,4.0,8.0,3.0,3.0,6.0,Saskatchewan
High-Wage,886.0,804.0,623.0,1448.0,660.0,668.0,2055.0,2544.0,Alberta
Low-Wage,3219.0,3270.0,2862.0,3991.0,2322.0,2647.0,5090.0,6318.0,Alberta
Primary Agriculture,287.0,302.0,288.0,400.0,325.0,306.0,323.0,361.0,Alberta
Global Talent,0.0,10.0,41.0,76.0,55.0,90.0,121.0,106.0,Alberta
Permanent Resident Only,434.0,125.0,116.0,115.0,80.0,90.0,241.0,215.0,Alberta
Unspecified,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alberta
High-Wage,1703.0,2020.0,1739.0,3838.0,3053.0,3143.0,4828.0,4362.0,British Columbia
Low-Wage,2574.0,3539.0,4108.0,5229.0,3882.0,4242.0,5938.0,5786.0,British Columbia
Primary Agriculture,639.0,739.0,896.0,1029.0,995.0,901.0,1041.0,1246.0,British Columbia
Global Talent,0.0,102.0,175.0,249.0,205.0,279.0,340.0,212.0,British Columbia
Permanent Resident Only,596.0,224.0,225.0,263.0,436.0,293.0,242.0,845.0,British Columbia
High-Wage,7.0,11.0,7.0,5.0,3.0,7.0,13.0,9.0,Yukon
Low-Wage,10.0,13.0,9.0,19.0,5.0,6.0,12.0,14.0,Yukon
Global Talent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Primary Agriculture
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Primary Agriculture
High-Wage,9.0,8.0,2.0,9.0,1.0,0.0,7.0,7.0,Northwest Territories
Low-Wage,14.0,22.0,17.0,26.0,17.0,15.0,30.0,27.0,Northwest Territories
Primary Agriculture,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Northwest Territories
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Northwest Territories
High-Wage,10.0,6.0,5.0,3.0,5.0,6.0,4.0,6.0,Nunavut
Low-Wage,13.0,6.0,10.0,10.0,5.0,8.0,12.0,7.0,Nunavut
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Primary Agriculture
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Primary Agriculture
