Program_Stream,2016,2017,2018,2019,2020,2021,2022,2023,Province_Region
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nova Scotia
High-Wage,321.0,189.0,117.0,105.0,79.0,117.0,188.0,142.0,New Brunswick
Low-Wage,87.0,97.0,91.0,129.0,155.0,217.0,460.0,498.0,New Brunswick
Primary Agriculture,42.0,38.0,39.0,54.0,56.0,73.0,91.0,114.0,New Brunswick
Global Talent,0.0,0.0,3.0,9.0,9.0,12.0,28.0,15.0,New Brunswick
Permanent Resident Only,3.0,3.0,0.0,11.0,12.0,3.0,14.0,8.0,New Brunswick
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Brunswick
High-Wage,2342.0,2351.0,2078.0,3225.0,3479.0,3193.0,7670.0,6891.0,Quebec
Low-Wage,763.0,580.0,683.0,1324.0,2005.0,1580.0,8389.0,12582.0,Quebec
Primary Agriculture,3440.0,2904.0,3281.0,4894.0,4614.0,5750.0,6965.0,6529.0,Quebec
Global Talent,0.0,71.0,1001.0,1869.0,1279.0,1916.0,3389.0,2045.0,Quebec
Permanent Resident Only,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec
Unspecified,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec
High-Wage,2912.0,3065.0,2722.0,3709.0,3680.0,3372.0,6856.0,9231.0,Ontario
Low-Wage,3640.0,4172.0,4991.0,4567.0,3864.0,4391.0,7060.0,10624.0,Ontario
Primary Agriculture,2628.0,2997.0,3051.0,2961.0,2994.0,3141.0,3662.0,3628.0,Ontario
Global Talent,0.0,262.0,747.0,1113.0,1079.0,1538.0,2566.0,1593.0,Ontario
Permanent Resident Only,866.0,615.0,450.0,643.0,1403.0,811.0,806.0,2780.0,Ontario
Unspecified,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario
High-Wage,129.0,126.0,151.0,218.0,176.0,279.0,650.0,858.0,Manitoba
Low-Wage,62.0,73.0,95.0,151.0,112.0,143.0,433.0,685.0,Manitoba
Primary Agriculture,102.0,112.0,114.0,154.0,156.0,137.0,197.0,183.0,Manitoba
Global Talent,0.0,9.0,43.0,22.0,27.0,48.0,63.0,20.0,Manitoba
Permanent Resident Only,15.0,4.0,4.0,6.0,8.0,8.0,3.0,8.0,Manitoba
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manitoba
High-Wage,184.0,139.0,113.0,132.0,83.0,140.0,227.0,268.0,Saskatchewan
Low-Wage,180.0,191.0,183.0,224.0,137.0,202.0,580.0,716.0,Saskatchewan
Primary Agriculture,178.0,179.0,179.0,281.0,256.0,244.0,328.0,329.0,Saskatchewan
Global Talent,0.0,0.0,7.0,17.0,9.0,28.0,19.0,5.0,Saskatchewan
Permanent Resident Only,6.0,2.0,1.0,4.0,9.0,3.0,3.0,6.0,Saskatchewan
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saskatchewan
High-Wage,1340.0,1107.0,883.0,1821.0,804.0,897.0,2889.0,3626.0,Alberta
Low-Wage,3974.0,4045.0,3443.0,4810.0,2910.0,3603.0,8419.0,9838.0,Alberta
Primary Agriculture,454.0,484.0,553.0,607.0,570.0,577.0,640.0,736.0,Alberta
Global Talent,0.0,11.0,72.0,98.0,67.0,169.0,268.0,140.0,Alberta
Permanent Resident Only,539.0,139.0,132.0,125.0,88.0,104.0,289.0,240.0,Alberta
Unspecified,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alberta
High-Wage,4077.0,3783.0,2815.0,5453.0,4459.0,4291.0,7014.0,6312.0,British Columbia
Low-Wage,2949.0,4309.0,5166.0,6612.0,5335.0,5751.0,9447.0,9156.0,British Columbia
Primary Agriculture,1126.0,1230.0,1760.0,1552.0,1985.0,1718.0,2115.0,2596.0,British Columbia
Global Talent,0.0,364.0,785.0,799.0,602.0,1038.0,1496.0,569.0,British Columbia
Permanent Resident Only,726.0,249.0,256.0,276.0,509.0,323.0,269.0,1046.0,British Columbia
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British Columbia
High-Wage,70.0,93.0,96.0,108.0,33.0,118.0,115.0,113.0,Yukon
Low-Wage,26.0,15.0,9.0,23.0,5.0,6.0,17.0,15.0,Yukon
Primary Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon
Global Talent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Yukon
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon
High-Wage,25.0,23.0,2.0,9.0,1.0,0.0,8.0,9.0,Northwest Territories
Low-Wage,35.0,22.0,18.0,28.0,21.0,20.0,45.0,43.0,Northwest Territories
Primary Agriculture,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Northwest Territories
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Northwest Territories
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northwest Territories
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northwest Territories
High-Wage,57.0,20.0,43.0,16.0,13.0,18.0,12.0,27.0,Nunavut
Low-Wage,73.0,6.0,61.0,44.0,10.0,25.0,29.0,54.0,Nunavut
Primary Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut
Global Talent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nunavut
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut
