province_region,occupation,skill_level,2016,2017,2018,2019,2020,2021,2022,2023
Saskatchewan,Management Occupations,0,17.0,18.0,10.0,14.0,15.0,24.0,21.0,37.0
Saskatchewan,Professionals,A,62.0,53.0,41.0,36.0,27.0,48.0,50.0,29.0
Saskatchewan,Skilled and Technical,B,209.0,187.0,173.0,249.0,196.0,239.0,594.0,596.0
Saskatchewan,Intermediate and Clerical,C,236.0,236.0,252.0,331.0,243.0,293.0,381.0,436.0
Saskatchewan,Elemental and Labourers,D,24.0,17.0,7.0,28.0,13.0,13.0,111.0,226.0
Alberta,Management Occupations,0,487.0,315.0,172.0,257.0,160.0,217.0,369.0,420.0
Alberta,Professionals,A,383.0,225.0,211.0,272.0,186.0,294.0,548.0,584.0
Alberta,Skilled and Technical,B,3632.0,3498.0,2743.0,4700.0,3060.0,3856.0,8795.0,7894.0
Alberta,Intermediate and Clerical,C,1566.0,1628.0,1913.0,1990.0,968.0,974.0,1779.0,2404.0
Alberta,Elemental and Labourers,D,242.0,120.0,44.0,242.0,65.0,8.0,1014.0,3278.0
British Columbia,Management Occupations,0,459.0,549.0,445.0,832.0,1159.0,999.0,1371.0,1134.0
British Columbia,Professionals,A,967.0,736.0,789.0,949.0,1008.0,1069.0,1685.0,971.0
British Columbia,Skilled and Technical,B,4652.0,5280.0,5094.0,8517.0,7227.0,7222.0,11750.0,11177.0
British Columbia,Intermediate and Clerical,C,2714.0,3240.0,4294.0,3750.0,3103.0,3286.0,3675.0,4057.0
British Columbia,Elemental and Labourers,D,86.0,130.0,160.0,643.0,393.0,545.0,1860.0,2340.0
Yukon,Management Occupations,0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
Yukon,Professionals,A,57.0,49.0,58.0,60.0,24.0,76.0,82.0,73.0
Yukon,Skilled and Technical,B,31.0,44.0,35.0,44.0,8.0,43.0,41.0,42.0
Yukon,Intermediate and Clerical,C,5.0,13.0,11.0,22.0,6.0,2.0,4.0,6.0
Yukon,Elemental and Labourers,D,2.0,2.0,0.0,4.0,0.0,0.0,4.0,7.0
Northwest Territories,Management Occupations,0,3.0,2.0,1.0,4.0,0.0,2.0,4.0,2.0
Northwest Territories,Professionals,A,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Northwest Territories,Skilled and Technical,B,24.0,23.0,7.0,19.0,14.0,11.0,38.0,29.0
Northwest Territories,Intermediate and Clerical,C,32.0,18.0,12.0,12.0,8.0,6.0,2.0,9.0
Northwest Territories,Elemental and Labourers,D,0.0,1.0,0.0,2.0,1.0,2.0,10.0,13.0
Nunavut,Management Occupations,0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0
Nunavut,Professionals,A,7.0,2.0,8.0,1.0,0.0,5.0,0.0,2.0
Nunavut,Skilled and Technical,B,31.0,8.0,51.0,34.0,14.0,30.0,28.0,53.0
Nunavut,Intermediate and Clerical,C,87.0,16.0,33.0,23.0,7.0,7.0,8.0,19.0
Nunavut,Elemental and Labourers,D,3.0,0.0,8.0,2.0,1.0,1.0,3.0,8.0
